round,seed,defect,coop,exploit_,exploit
604,385,22868,23834,14576,16722
605,385,22923,24120,14406,16551
606,385,22788,24079,14449,16684
607,385,24082,23603,13884,16431
608,385,23258,24568,13532,16642
609,385,24313,23154,14048,16485
610,385,24811,22401,13926,16862
611,385,25499,21059,14390,17052
612,385,25782,20973,14271,16974
613,385,24104,22571,14598,16727
614,385,25801,21573,14925,15701
615,385,24770,22235,14759,16236
616,385,26811,20327,14047,16815
617,385,26840,20148,14178,16834
618,385,28064,19780,13827,16329
619,385,27755,19774,13950,16521
620,385,27190,20567,13542,16701
621,385,25282,22574,13156,16988
622,385,25333,22605,13206,16856
623,385,26073,21572,12858,17497
624,385,26017,21591,12957,17435
625,385,24853,22343,12430,18374
626,385,23807,23546,12724,17923
627,385,24033,23338,12829,17800
628,385,22526,24193,13627,17654
629,385,22587,24382,13359,17672
630,385,24369,22301,12262,19068
631,385,24938,21234,12499,19329
632,385,25344,21284,12399,18973
633,385,25063,21483,12360,19094
634,385,25003,21184,12544,19269
635,385,24142,21935,12355,19568
636,385,22080,23479,12800,19641
637,385,23768,22046,13418,18768
638,385,26003,20123,12521,19353
639,385,26396,18894,13190,19520
640,385,26675,19157,12881,19287
641,385,25468,20500,13380,18652
642,385,24089,21000,13636,19275
643,385,22248,22687,13562,19503
644,385,22168,22818,13429,19585
645,385,22258,22631,13594,19517
646,385,22073,22818,13575,19534
647,385,22845,21588,14374,19193
648,385,21471,21975,15114,19440
649,385,21673,22014,15159,19154
650,385,22841,21437,14790,18932
651,385,21103,23414,16037,17446
652,385,20990,23242,16198,17570
653,385,19392,25098,14982,18528
654,385,17610,27159,14294,18937
655,385,16658,27645,14962,18735
656,385,15206,29541,14379,18874
657,385,15154,29468,14338,19040
658,385,15017,29451,14382,19150
659,385,13789,31610,14390,18211
660,385,13710,31545,14503,18242
661,385,15159,29326,13764,19751
662,385,15215,29369,13710,19706
663,385,15138,29579,13745,19538
664,385,16789,27549,14545,19117
665,385,17280,27136,14392,19192
666,385,18072,26959,13806,19163
667,385,16534,28754,14616,18096
668,385,16372,28979,14614,18035
669,385,17241,27374,14292,19093
670,385,16296,27780,14311,19613
671,385,17083,27378,14355,19184
672,385,16864,27438,14308,19390
673,385,16125,27645,14643,19587
674,385,15590,29198,13559,19653
675,385,15534,29396,13471,19599
676,385,14742,30990,13515,18753
677,385,13890,31492,13753,18865
678,385,13966,31515,13697,18822
679,385,14675,29856,13850,19619
680,385,13324,31724,12232,20720
681,385,13491,31604,12294,20611
682,385,13860,31743,12040,20357
683,385,15485,29425,11203,21887
684,385,13972,31663,10027,22338
685,385,13136,33258,10192,21414
686,385,13908,31746,10664,21682
687,385,14408,31254,10905,21433
688,385,13909,31599,11026,21466
689,385,14044,31293,11085,21578
690,385,13925,31672,11098,21305
691,385,13912,31539,11074,21475
692,385,14853,31047,11197,20903
693,385,15272,29550,11838,21340
694,385,15658,29398,11766,21178
695,385,15436,29247,11990,21327
696,385,15479,29385,12025,21111
697,385,15442,29449,11841,21268
698,385,14711,31032,11025,21232
699,385,15477,30814,10686,21023
700,385,17089,28532,9852,22527
701,385,16181,28879,10005,22935
702,385,16372,28902,9854,22872
703,385,15287,29576,9595,23542
704,385,14767,30961,8809,23463
705,385,13428,33028,9478,22066
706,385,13461,33070,9360,22109
707,385,13265,33158,9559,22018
708,385,14728,30885,9487,22900
709,385,16471,28860,10748,21921
710,385,17943,26875,11308,21874
711,385,17979,27044,11202,21775
712,385,16300,28935,10759,22006
713,385,17601,27155,11667,21577
714,385,17275,27194,11428,22103
715,385,19046,25366,12928,20660
716,385,20638,23378,14298,19686
717,385,22388,21865,14078,19669
718,385,24159,19889,14043,19909
719,385,22253,21706,15386,18655
720,385,22499,21559,15462,18480
721,385,22472,21684,15379,18465
722,385,24118,20040,16695,17147
723,385,24772,18966,16570,17692
724,385,25000,18610,16601,17789
725,385,24921,18843,16591,17645
726,385,23041,20369,17772,16818
727,385,21259,22138,18413,16190
728,385,21370,22017,18382,16231
729,385,21138,22044,18563,16255
730,385,20408,22383,19001,16208
731,385,20488,22336,18899,16277
732,385,22277,20647,18307,16769
733,385,23885,19111,18675,16329
734,385,25824,17553,17753,16870
735,385,25870,17421,17771,16938
736,385,24861,18910,16711,17518
737,385,24820,18756,16718,17706
738,385,24845,18807,16777,17571
739,385,24890,18867,16595,17648
740,385,22859,20354,16975,17812
741,385,22789,20371,17100,17740
742,385,22787,20440,16975,17798
743,385,24867,18862,15328,18943
744,385,26747,17185,14164,19904
745,385,24781,18802,13161,21256
746,385,25770,18554,13258,20418
747,385,25527,18523,13355,20595
748,385,26580,17229,14013,20178
749,385,25768,17418,13754,21060
750,385,24988,17704,14173,21135
751,385,24972,17709,14121,21198
752,385,26756,16145,13617,21482
753,385,26857,16282,13488,21373
754,385,28753,14638,14578,20031
755,385,28894,14742,14469,19895
756,385,28658,14795,14530,20017
757,385,28691,14837,14528,19944
758,385,28867,14822,14398,19913
759,385,26731,16094,16271,18904
760,385,26893,16111,16268,18728
761,385,24951,17814,17115,18120
762,385,23120,19335,17586,17959
763,385,23395,19411,17311,17883
764,385,23024,19458,17433,18085
765,385,24869,17761,17773,17597
766,385,26922,16103,16478,18497
767,385,26682,16341,16609,18368
768,385,26888,16213,16519,18380
769,385,28157,15850,16616,17377
770,385,30160,14305,17802,15733
771,385,32312,12959,16931,15798
772,385,32244,12908,16825,16023
773,385,33256,12843,16510,15391
774,385,33048,12706,16780,15466
775,385,33292,12505,16707,15496
776,385,33285,12869,16584,15262
777,385,32832,13564,16061,15543
778,385,32688,13425,16128,15759
779,385,31650,14654,16118,15578
780,385,31604,14801,16181,15414
781,385,32372,14609,15834,15185
782,385,32455,14375,16029,15141
783,385,31957,15197,16252,14594
784,385,31069,16387,15837,14707
785,385,32944,14912,15214,14930
786,385,33685,14537,15075,14703
787,385,34529,13662,15359,14450
788,385,35634,13070,15490,13806
789,385,36181,12361,15814,13644
790,385,34987,13621,15994,13398
791,385,35552,12601,16472,13375
792,385,35633,12599,16486,13282
793,385,37943,11294,14689,14074
794,385,37948,11361,14659,14032
795,385,38333,11209,14491,13967
796,385,37917,11289,14775,14019
797,385,35643,12569,16195,13593
798,385,35718,12526,16144,13612
799,385,35646,12701,15992,13661
800,385,36192,11851,16116,13841
801,385,36336,11692,16000,13972
802,385,36412,11867,15836,13885
803,385,36434,11708,16012,13846
804,385,35074,12954,16129,13843
805,385,33980,14032,16299,13689
