round,seed,population_seed,strategy,count,percentage
256,894,981,exploitation,32237,0.41
257,894,981,coop,31028,0.4
257,894,981,defect,14439,0.19
257,894,981,exploitation,32533,0.42
258,894,981,coop,31122,0.4
258,894,981,defect,14581,0.19
258,894,981,exploitation,32297,0.41
259,894,981,coop,31619,0.41
259,894,981,defect,13644,0.17
259,894,981,exploitation,32737,0.42
260,894,981,coop,29637,0.38
260,894,981,defect,15197,0.19
260,894,981,exploitation,33166,0.43
261,894,981,coop,29916,0.38
261,894,981,defect,14398,0.18
261,894,981,exploitation,33686,0.43
262,894,981,coop,29861,0.38
262,894,981,defect,14399,0.18
262,894,981,exploitation,33740,0.43
263,894,981,coop,29963,0.38
263,894,981,defect,14627,0.19
263,894,981,exploitation,33410,0.43
264,894,981,coop,29825,0.38
264,894,981,defect,14491,0.19
264,894,981,exploitation,33684,0.43
265,894,981,coop,27996,0.36
265,894,981,defect,15898,0.2
265,894,981,exploitation,34106,0.44
266,894,981,coop,29685,0.38
266,894,981,defect,15071,0.19
266,894,981,exploitation,33244,0.43
267,894,981,coop,27474,0.35
267,894,981,defect,16504,0.21
267,894,981,exploitation,34022,0.44
268,894,981,coop,27590,0.35
268,894,981,defect,17090,0.22
268,894,981,exploitation,33320,0.43
269,894,981,coop,29038,0.37
269,894,981,defect,16293,0.21
269,894,981,exploitation,32669,0.42
270,894,981,coop,27131,0.35
270,894,981,defect,18002,0.23
270,894,981,exploitation,32867,0.42
271,894,981,coop,26914,0.35
271,894,981,defect,18087,0.23
271,894,981,exploitation,32999,0.42
272,894,981,coop,28429,0.36
272,894,981,defect,17458,0.22
272,894,981,exploitation,32113,0.41
273,894,981,coop,28238,0.36
273,894,981,defect,17365,0.22
273,894,981,exploitation,32397,0.42
274,894,981,coop,26722,0.34
274,894,981,defect,18405,0.24
274,894,981,exploitation,32873,0.42
275,894,981,coop,25003,0.32
275,894,981,defect,19995,0.26
275,894,981,exploitation,33002,0.42
276,894,981,coop,25029,0.32
276,894,981,defect,19993,0.26
276,894,981,exploitation,32978,0.42
277,894,981,coop,23104,0.3
277,894,981,defect,21710,0.28
277,894,981,exploitation,33186,0.43
278,894,981,coop,23309,0.3
278,894,981,defect,21207,0.27
278,894,981,exploitation,33484,0.43
279,894,981,coop,23121,0.3
