round,seed,defect,exploit,exploit_,coop
600,824,23486,17058,14185,23271
601,824,23452,17038,14049,23461
602,824,23559,17160,14130,23151
603,824,24956,16221,14863,21960
604,824,26215,15576,15829,20380
605,824,26072,15620,15920,20388
606,824,23971,17017,14788,22224
607,824,24027,16973,14936,22064
608,824,24190,16918,14840,22052
609,824,25414,17182,14629,20775
610,824,25398,17107,14632,20863
611,824,25306,17194,14762,20738
612,824,26518,17894,14344,19244
613,824,26454,18032,14278,19236
614,824,24670,16992,15332,21006
615,824,24514,17016,15327,21143
616,824,24569,17087,15487,20857
617,824,24773,16993,15241,20993
618,824,24517,17094,15437,20952
619,824,25744,17999,14810,19447
620,824,24610,17888,14621,20881
621,824,22558,19087,13395,22960
622,824,22675,19132,13478,22715
623,824,23538,18645,13292,22525
624,824,24787,19300,12903,21010
625,824,24734,19425,12886,20955
626,824,23553,18945,13083,22419
627,824,23339,19053,13254,22354
628,824,23505,18984,13071,22440
629,824,23478,19023,13087,22412
630,824,22262,18135,13650,23953
631,824,22238,18169,13487,24106
632,824,22302,18141,13472,24085
633,824,22881,17709,13642,23768
634,824,21886,17632,13369,25113
635,824,20462,16724,13802,27012
636,824,20376,16759,14068,26797
637,824,20581,16768,13909,26742
638,824,20382,16662,13975,26981
639,824,21084,16687,13753,26476
640,824,19035,16035,14255,28675
641,824,19306,15982,14117,28595
642,824,20472,16275,14387,26866
643,824,20322,16518,14526,26634
644,824,20360,16344,14450,26846
645,824,20354,16242,14458,26946
646,824,19097,15892,14488,28523
647,824,19825,16041,14114,28020
648,824,18300,15904,13986,29810
649,824,17841,15693,14230,30236
650,824,17850,15483,14048,30619
651,824,18798,15267,14180,29755
652,824,18702,15238,14375,29685
653,824,18860,15181,14174,29785
654,824,18539,15307,14316,29838
655,824,18176,15598,14351,29875
656,824,18262,15568,14140,30030
657,824,16327,15340,13901,32432
658,824,16444,15329,14037,32190
659,824,16378,15322,13879,32421
660,824,16356,15406,14035,32203
661,824,15047,15568,12864,34521
662,824,15199,15642,13000,34159
663,824,13454,16349,12314,35883
664,824,15196,16354,12613,33837
665,824,16287,16770,12667,32276
666,824,16496,16845,12461,32198
667,824,16366,16920,12470,32244
668,824,16313,16835,12442,32410
669,824,16323,16974,12484,32219
670,824,15267,16309,12526,33898
671,824,15529,16374,12333,33764
672,824,15564,16349,12334,33753
673,824,16405,16805,12007,32783
674,824,18143,16101,12931,30825
675,824,18366,15996,12974,30664
676,824,16864,15489,12920,32727
677,824,17763,16195,12783,31259
678,824,18313,15968,13072,30647
679,824,17976,16077,12940,31007
680,824,17956,15960,13075,31009
681,824,17932,15908,12833,31327
682,824,17830,15872,12935,31363
683,824,18091,15990,13057,30862
684,824,19207,16641,13001,29151
685,824,17354,17361,11906,31379
686,824,17780,17247,12018,30955
687,824,18164,17091,12030,30715
688,824,18225,17056,12182,30537
689,824,19559,17958,11703,28780
690,824,20841,18569,11218,27372
691,824,22472,18739,11218,25571
692,824,22366,18835,11164,25635
693,824,23048,18965,10882,25105
694,824,23998,18846,11165,23991
695,824,24069,18839,10923,24169
696,824,22088,18920,11351,25641
697,824,22006,18879,11471,25644
698,824,20704,19159,10565,27572
699,824,22230,19770,9972,26028
700,824,22061,19879,9928,26132
701,824,21681,20009,10214,26096
702,824,21308,20174,10254,26264
703,824,19489,19565,10607,28339
704,824,20556,18824,10828,27792
705,824,20527,19031,10909,27533
706,824,19875,18989,11042,28094
707,824,17992,18166,11599,30243
708,824,17957,18273,11683,30087
709,824,16074,17261,12367,32298
710,824,18120,16488,13218,30174
711,824,19291,16985,13285,28439
712,824,19275,16896,13276,28553
713,824,20605,16250,14154,26991
714,824,20417,16322,14424,26837
715,824,20521,16361,14382,26736
716,824,21797,16497,14649,25057
717,824,20690,16383,14399,26528
718,824,18675,15946,14368,29011
719,824,20449,16581,14324,26646
720,824,20365,16493,14508,26634
721,824,21311,16511,14713,25465
722,824,20803,16943,14530,25724
723,824,19669,16705,14305,27321
724,824,20219,16364,14323,27094
725,824,20476,16175,14447,26902
726,824,20252,16164,14486,27098
727,824,18858,15622,14728,28792
728,824,19866,15360,14565,28209
729,824,19778,15540,14595,28087
730,824,20567,15294,14398,27741
731,824,21090,15493,13978,27439
732,824,20833,15725,14294,27148
733,824,21293,15730,14072,26905
734,824,23334,14709,15052,24905
735,824,24861,15475,14472,23192
736,824,24786,15283,14365,23566
737,824,24851,15364,14356,23429
738,824,26201,14781,15111,21907
739,824,24723,15244,14511,23522
740,824,26063,14893,15155,21889
741,824,24524,15213,14594,23669
742,824,24826,14923,14582,23669
743,824,24760,15249,14746,23245
744,824,24801,15184,14801,23214
745,824,24525,15274,14446,23755
746,824,23122,15444,14073,25361
747,824,23359,15342,14158,25141
748,824,23184,15611,14292,24913
749,824,23179,15592,14339,24890
750,824,21943,14608,14781,26668
751,824,23404,14849,14923,24824
752,824,23325,14565,14944,25166
753,824,21935,14817,14593,26655
754,824,21812,15005,14607,26576
755,824,21935,14720,14357,26988
756,824,22043,14913,14598,26446
757,824,20483,14176,14909,28432
758,824,21236,13580,14935,28249
759,824,21591,14068,15026,27315
760,824,21515,14191,15103,27191
761,824,23073,13901,15362,25664
762,824,23070,13723,15392,25815
763,824,24732,13914,15319,24035
764,824,24944,14051,15142,23863
765,824,23423,14180,14912,25485
766,824,23617,14047,14852,25484
767,824,22152,13593,15229,27026
768,824,23451,13880,15415,25254
769,824,24250,13794,15021,24935
770,824,24001,13691,15338,24970
771,824,22295,13016,15718,26971
772,824,23796,12690,16172,25342
773,824,25263,12600,16495,23642
774,824,26898,12517,16617,21968
775,824,25529,13208,15958,23305
776,824,25991,12782,15975,23252
777,824,25918,12629,16108,23345
778,824,25934,12736,16047,23283
779,824,25985,12734,16025,23256
780,824,25943,12698,15984,23375
781,824,26025,12695,16023,23257
782,824,26254,12780,15874,23092
783,824,24356,12709,15962,24973
784,824,25794,13477,15610,23119
785,824,25331,13315,15616,23738
786,824,25412,13543,15765,23280
787,824,25375,13445,15573,23607
788,824,26698,13745,15117,22440
789,824,26840,13786,15169,22205
790,824,28291,13805,15026,20878
791,824,28372,13783,15253,20592
792,824,28363,13772,15006,20859
793,824,29561,13573,15262,19604
794,824,28328,13831,15301,20540
795,824,28616,13620,15230,20534
796,824,29886,14139,14721,19254
797,824,30413,14360,14330,18897
798,824,28868,13626,15194,20312
799,824,27363,13230,15746,21661
800,824,28545,13443,15153,20859
801,824,27837,13281,15454,21428
802,824,30111,13937,14391,19561
803,824,30410,13817,14513,19260
804,824,28785,13582,14766,20867
805,824,28632,13595,14735,21038
806,824,30152,13225,15264,19359
807,824,30878,12919,15281,18922
808,824,29822,13330,15245,19603
809,824,29285,13330,15390,19995
810,824,27951,13164,15418,21467
811,824,27812,13231,15399,21558
812,824,27848,13323,15446,21383
813,824,29481,12600,15788,20131
814,824,29303,12791,16026,19880
815,824,28354,12845,15524,21277
816,824,26850,13100,15401,22649
817,824,24768,13944,15033,24255
818,824,25371,13748,14878,24003
819,824,27260,14182,14343,22215
820,824,27400,14420,14540,21640
