round,seed,defect,exploit_,exploit,coop
130,130,29984,13642,16975,17399
131,130,30302,13532,16899,17267
132,130,30912,13810,17197,16081
133,130,32445,12480,17608,15467
134,130,32557,12533,17400,15510
135,130,30215,13346,17036,17403
136,130,29505,13823,16327,18345
137,130,29642,13822,16385,18151
138,130,29487,13853,16481,18179
139,130,27228,14890,15850,20032
140,130,26489,14513,15779,21219
141,130,28580,14022,15958,19440
142,130,27228,13766,16863,20143
143,130,27245,13864,16735,20156
144,130,26107,13544,16859,21490
145,130,28372,12553,17548,19527
146,130,28062,12695,17761,19482
147,130,27120,12366,17733,20781
148,130,29390,13042,16960,18608
149,130,29522,12851,16728,18899
150,130,27304,12997,17214,20485
151,130,29581,12064,17500,18855
152,130,27083,12481,17700,20736
153,130,25950,12245,18048,21757
154,130,26874,12276,18450,20400
155,130,28693,13045,17407,18855
156,130,31036,13943,16304,16717
157,130,31666,13895,16621,15818
158,130,33983,12863,16885,14269
159,130,34023,12905,16894,14178
160,130,32606,12816,17808,14770
161,130,30190,13231,17953,16626
162,130,32518,13890,16542,15050
163,130,32487,13917,16683,14913
164,130,34076,12905,16759,14260
165,130,32406,14213,16541,14840
166,130,32495,14108,16363,15034
167,130,34692,14179,15792,13337
168,130,33888,13834,15989,14289
169,130,32430,13831,16708,15031
170,130,33916,13326,16380,14378
171,130,35709,12425,16309,13557
172,130,34926,12807,15983,14284
173,130,32418,13495,15917,16170
174,130,33209,13871,15798,15122
175,130,35487,13958,14882,13673
176,130,33410,13952,15441,15197
177,130,31809,14521,15760,15910
178,130,31937,14492,15676,15895
179,130,30968,14612,15486,16934
180,130,30005,14109,15950,17936
181,130,28254,13104,16803,19839
182,130,28053,13369,17160,19418
183,130,28110,13291,16908,19691
184,130,29717,12260,17396,18627
185,130,30048,12009,17860,18083
186,130,28143,12814,17617,19426
187,130,28122,12730,17390,19758
188,130,27911,12868,17462,19759
189,130,28036,12731,17589,19644
190,130,30452,13260,16461,17827
191,130,29579,12889,16491,19041
192,130,31703,12676,16625,16996
193,130,30684,12981,16197,18138
194,130,32927,12217,16625,16231
195,130,30762,11497,17613,18128
196,130,28714,11178,18141,19967
197,130,27528,11892,17859,20721
198,130,25508,12446,17351,22695
199,130,25285,12450,17353,22912
200,130,25319,12462,17222,22997
201,130,26403,12143,17792,21662
202,130,27081,12112,17045,21762
203,130,27212,12112,17145,21531
204,130,27110,12287,17352,21251
205,130,26972,12260,17260,21508
206,130,25090,12475,17163,23272
207,130,24924,12308,17208,23560
208,130,24960,12429,17200,23411
209,130,23760,12168,17992,24080
210,130,25622,12633,17410,22335
211,130,25095,11906,17639,23360
212,130,26987,12409,17285,21319
213,130,25497,12633,16582,23288
214,130,25579,12796,16719,22906
215,130,26860,12414,17209,21517
216,130,26680,12409,17440,21471
217,130,26475,12331,17433,21761
218,130,24371,11629,17997,24003
219,130,23499,11430,18253,24818
220,130,24398,11048,18834,23720
221,130,23299,10790,19420,24491
222,130,24214,11499,19047,23240
223,130,25513,11815,18157,22515
224,130,25231,11902,18434,22433
225,130,25380,11957,18241,22422
226,130,27382,12272,17867,20479
227,130,26587,12076,17602,21735
228,130,26481,12053,17624,21842
229,130,27542,12360,17476,20622
230,130,27501,12400,17424,20675
231,130,26964,12519,17526,20991
232,130,26697,12659,17431,21213
233,130,26592,12746,17399,21263
234,130,26524,12763,17370,21343
235,130,25345,12352,18293,22010
236,130,25601,12308,18216,21875
237,130,26432,12758,17438,21372
238,130,26530,12858,17466,21146
239,130,28589,12557,17392,19462
240,130,28713,12589,17411,19287
241,130,28794,12363,17420,19423
242,130,27562,13029,16926,20483
243,130,27710,12867,16977,20446
244,130,28291,12731,16917,20061
245,130,26339,13510,15955,22196
246,130,27465,13830,15412,21293
247,130,25810,14391,15249,22550
248,130,25860,14172,15140,22828
249,130,26980,14089,15120,21811
250,130,26440,14078,15554,21928
251,130,27617,14383,15268,20732
252,130,25978,14938,14637,22447
253,130,27216,14814,14950,21020
254,130,28800,14444,14792,19964
255,130,27125,14657,14459,21759
256,130,27174,14717,14533,21576
257,130,28803,14722,14347,20128
258,130,26413,14400,15450,21737
259,130,28540,15259,14226,19975
260,130,27896,14990,14296,20818
261,130,28296,14579,14381,20744
262,130,29150,14677,14450,19723
263,130,31428,15123,13426,18023
264,130,31525,15106,13456,17913
265,130,32076,15414,13239,17271
266,130,31180,15257,13273,18290
267,130,32121,15525,12920,17434
268,130,34646,15153,12456,15745
269,130,34461,15300,12515,15724
270,130,33463,15466,12465,16606
271,130,32574,16084,12276,17066
272,130,32669,16057,12354,16920
273,130,31035,16466,12022,18477
274,130,31857,16691,11955,17497
275,130,30848,16302,12389,18461
276,130,30920,16226,12406,18448
277,130,31207,16358,12392,18043
278,130,30960,16319,12340,18381
279,130,31158,16342,12315,18185
280,130,30386,16596,12027,18991
281,130,30355,16653,12191,18801
282,130,31062,17147,11723,18068
283,130,33433,16341,11966,16260
284,130,33385,16452,11987,16176
285,130,32368,16244,12336,17052
286,130,33311,15898,12566,16225
287,130,33161,16018,12398,16423
288,130,33237,15903,12366,16494
289,130,32035,16213,12279,17473
290,130,33005,15935,12470,16590
291,130,32036,15812,12411,17741
292,130,32120,15710,12460,17710
293,130,31935,15794,12557,17714
294,130,32411,15840,12451,17298
295,130,29996,15264,13717,19023
296,130,31420,15048,13488,18044
297,130,29730,15880,13346,19044
298,130,30086,15758,13075,19081
299,130,30018,15889,13238,18855
300,130,29288,15473,13217,20022
301,130,28585,15439,13462,20514
302,130,30931,14703,13947,18419
303,130,29746,15002,13992,19260
304,130,29758,14956,13851,19435
305,130,29521,15123,13928,19428
