round,seed,defect,coop,exploit,exploit_
628,780,56642,2129,9312,9917
629,780,56684,2067,9275,9974
630,780,57857,1732,8513,9898
631,780,56321,2061,9754,9864
632,780,53765,2718,11419,10098
633,780,51297,3457,12751,10495
634,780,51506,3338,12838,10318
635,780,51270,3345,12836,10549
636,780,52448,2952,12537,10063
637,780,49747,3647,13053,11553
638,780,49874,3641,12993,11492
639,780,49816,3526,13073,11585
640,780,49671,3603,13135,11591
641,780,51007,3096,13200,10697
642,780,50851,3092,13184,10873
643,780,51155,3133,13021,10691
644,780,50969,3106,13023,10902
645,780,49832,3612,13362,11194
646,780,49883,3604,13369,11144
647,780,49654,3620,13422,11304
648,780,52535,2987,11758,10720
649,780,52444,2874,11969,10713
650,780,52482,2892,11800,10826
651,780,52359,2925,11989,10727
652,780,52506,2898,11914,10682
653,780,52348,2912,11916,10824
654,780,52531,2902,11839,10728
655,780,52474,2907,11825,10794
656,780,52579,2809,11946,10666
657,780,55013,2281,10012,10694
658,780,54965,2260,10047,10728
659,780,53378,2482,11297,10843
660,780,53435,2579,11328,10658
661,780,50871,3134,13874,10121
662,780,50989,3082,13862,10067
663,780,53527,2454,11669,10350
664,780,53229,2752,11905,10114
665,780,52934,2897,11833,10336
666,780,53043,2795,11929,10233
667,780,52990,2871,11956,10183
668,780,53299,2833,11714,10154
669,780,53142,2703,11945,10210
670,780,53160,2870,11893,10077
671,780,53173,2799,11809,10219
672,780,53057,2842,11923,10178
673,780,55720,2175,11293,8812
674,780,55619,2127,11496,8758
675,780,55923,2143,11122,8812
676,780,53113,2811,12489,9587
677,780,55829,2206,10086,9879
678,780,56015,2114,10005,9866
679,780,55814,2089,10181,9916
680,780,55840,2264,9984,9912
681,780,55656,2167,10152,10025
682,780,55870,2147,10133,9850
683,780,55628,2205,10061,10106
684,780,55809,2182,10032,9977
685,780,55953,2182,9866,9999
686,780,55933,2147,9992,9928
687,780,55656,2193,10224,9927
688,780,55843,2142,10085,9930
689,780,55780,2204,10129,9887
690,780,55914,2224,9980,9882
691,780,55363,2476,9926,10235
692,780,55336,2331,9970,10363
693,780,55280,2457,10038,10225
694,780,55360,2410,10003,10227
695,780,55528,2327,9936,10209
696,780,55178,2471,10099,10252
697,780,55113,2387,10061,10439
698,780,55342,2416,9884,10358
699,780,54080,2911,10773,10236
700,780,54101,2945,10724,10230
701,780,54266,2892,10668,10174
702,780,54224,2858,10615,10303
703,780,53898,3176,10443,10483
704,780,53139,3624,10809,10428
705,780,53333,3549,10687,10431
706,780,53055,3560,10925,10460
707,780,53080,3558,10836,10526
708,780,52473,4032,10831,10664
709,780,54885,3202,10384,9529
710,780,54530,3336,10520,9614
711,780,53787,3669,10432,10112
712,780,54695,3527,9932,9846
713,780,54234,3821,9950,9995
714,780,54358,3508,9810,10324
715,780,51865,4555,10038,11542
716,780,50624,5301,9859,12216
717,780,51328,4855,9900,11917
718,780,51125,4730,10009,12136
719,780,52006,4354,9634,12006
720,780,51669,4477,9723,12131
721,780,51780,4396,9746,12078
722,780,51157,4544,9572,12727
723,780,48496,5604,9428,14472
724,780,48572,5608,9317,14503
725,780,50221,5041,9780,12958
726,780,51087,4650,9084,13179
727,780,52673,3936,8729,12662
728,780,51702,4415,9233,12650
729,780,51947,4190,9096,12767
730,780,52488,3949,8682,12881
731,780,52317,3825,8969,12889
732,780,51886,4397,8924,12793
733,780,49261,5391,9211,14137
734,780,49413,5391,9130,14066
735,780,49350,5350,9187,14113
736,780,49195,5404,9285,14116
737,780,49727,5011,9260,14002
738,780,48073,5315,9982,14630
739,780,47979,5344,10151,14526
740,780,49118,4629,10259,13994
741,780,51873,3864,9230,13033
742,780,50409,4357,9642,13592
743,780,50464,4497,9460,13579
744,780,50327,4503,9535,13635
745,780,50712,4315,9448,13525
746,780,50549,4509,9390,13552
747,780,51057,4057,9650,13236
748,780,50539,4295,9544,13622
749,780,50571,4361,9535,13533
750,780,50651,4322,9665,13362
751,780,50434,4429,9692,13445
752,780,51151,3988,9303,13558
753,780,51208,4037,9370,13385
754,780,51097,4028,9327,13548
755,780,51258,4030,9259,13453
756,780,50365,4527,9619,13489
757,780,50741,4442,9471,13346
758,780,50415,4429,9548,13608
759,780,50355,4475,9476,13694
760,780,50353,4435,9637,13575
761,780,50565,4355,9602,13478
762,780,50207,4436,9621,13736
763,780,50525,4316,9609,13550
764,780,50557,4359,9570,13514
765,780,50324,4379,9723,13574
766,780,50424,4558,9555,13463
767,780,50499,4466,9619,13416
768,780,50457,4561,9439,13543
769,780,51145,4029,9725,13101
