round,seed,population_seed,strategy,count,percentage
135,990,721,defect,17123,0.22
135,990,721,exploitation,29697,0.38
136,990,721,coop,30998,0.4
136,990,721,defect,17763,0.23
136,990,721,exploitation,29239,0.37
137,990,721,coop,30571,0.39
137,990,721,defect,18230,0.23
137,990,721,exploitation,29199,0.37
138,990,721,coop,32294,0.41
138,990,721,defect,16705,0.21
138,990,721,exploitation,29001,0.37
139,990,721,coop,34478,0.44
139,990,721,defect,14861,0.19
139,990,721,exploitation,28661,0.37
140,990,721,coop,34902,0.45
140,990,721,defect,14802,0.19
140,990,721,exploitation,28296,0.36
141,990,721,coop,35627,0.46
141,990,721,defect,14143,0.18
141,990,721,exploitation,28230,0.36
142,990,721,coop,35569,0.46
142,990,721,defect,14377,0.18
142,990,721,exploitation,28054,0.36
143,990,721,coop,34741,0.45
143,990,721,defect,14588,0.19
143,990,721,exploitation,28671,0.37
144,990,721,coop,34783,0.45
144,990,721,defect,14608,0.19
144,990,721,exploitation,28609,0.37
145,990,721,coop,35008,0.45
145,990,721,defect,14577,0.19
145,990,721,exploitation,28415,0.36
146,990,721,coop,37134,0.48
146,990,721,defect,12894,0.17
146,990,721,exploitation,27972,0.36
147,990,721,coop,36870,0.47
147,990,721,defect,13348,0.17
147,990,721,exploitation,27782,0.36
148,990,721,coop,36060,0.46
148,990,721,defect,14129,0.18
148,990,721,exploitation,27811,0.36
149,990,721,coop,35420,0.45
149,990,721,defect,14578,0.19
149,990,721,exploitation,28002,0.36
150,990,721,coop,35672,0.46
150,990,721,defect,14414,0.18
150,990,721,exploitation,27914,0.36
151,990,721,coop,36230,0.46
151,990,721,defect,13870,0.18
151,990,721,exploitation,27900,0.36
152,990,721,coop,35529,0.46
152,990,721,defect,14486,0.19
152,990,721,exploitation,27985,0.36
153,990,721,coop,35672,0.46
153,990,721,defect,14354,0.18
153,990,721,exploitation,27974,0.36
154,990,721,coop,37296,0.48
154,990,721,defect,13398,0.17
154,990,721,exploitation,27306,0.35
155,990,721,coop,39156,0.5
155,990,721,defect,11621,0.15
155,990,721,exploitation,27223,0.35
156,990,721,coop,39559,0.51
156,990,721,defect,11437,0.15
156,990,721,exploitation,27004,0.35
157,990,721,coop,38737,0.5
157,990,721,defect,12118,0.16
157,990,721,exploitation,27145,0.35
158,990,721,coop,38942,0.5
158,990,721,defect,11970,0.15
158,990,721,exploitation,27088,0.35
159,990,721,coop,38958,0.5
159,990,721,defect,12122,0.16
159,990,721,exploitation,26920,0.35
160,990,721,coop,38065,0.49
160,990,721,defect,12430,0.16
160,990,721,exploitation,27505,0.35
161,990,721,coop,37791,0.48
161,990,721,defect,12558,0.16
161,990,721,exploitation,27651,0.35
162,990,721,coop,37482,0.48
162,990,721,defect,12760,0.16
162,990,721,exploitation,27758,0.36
163,990,721,coop,37113,0.48
163,990,721,defect,12882,0.17
163,990,721,exploitation,28005,0.36
164,990,721,coop,37106,0.48
164,990,721,defect,13146,0.17
164,990,721,exploitation,27748,0.36
165,990,721,coop,37552,0.48
165,990,721,defect,13003,0.17
165,990,721,exploitation,27445,0.35
166,990,721,coop,37812,0.48
166,990,721,defect,12729,0.16
166,990,721,exploitation,27459,0.35
167,990,721,coop,37804,0.48
167,990,721,defect,12493,0.16
167,990,721,exploitation,27703,0.36
168,990,721,coop,36134,0.46
168,990,721,defect,14282,0.18
168,990,721,exploitation,27584,0.35
169,990,721,coop,35474,0.45
169,990,721,defect,14494,0.19
169,990,721,exploitation,28032,0.36
170,990,721,coop,36707,0.47
170,990,721,defect,13320,0.17
