round,seed,defect,exploit_,exploit,coop
420,179,18602,15090,14011,30297
421,179,18806,15037,13953,30204
422,179,19757,15191,14161,28891
423,179,19980,15080,13899,29041
424,179,20136,14877,13972,29015
425,179,19189,14823,13654,30334
426,179,20795,14340,14727,28138
427,179,22986,14031,15219,25764
428,179,24287,14054,14831,24828
429,179,22012,14203,14613,27172
430,179,21601,14087,14628,27684
431,179,20949,14169,14587,28295
432,179,20849,14353,14775,28023
433,179,18635,13728,14822,30815
434,179,17716,14138,14473,31673
435,179,18167,13926,14368,31539
436,179,17178,14096,14022,32704
437,179,17832,14439,13919,31810
438,179,16675,14442,13904,32979
439,179,17692,14535,13907,31866
440,179,17175,14199,13636,32990
441,179,17994,15080,13591,31335
442,179,17931,15043,13577,31449
443,179,17911,15013,13576,31500
444,179,19664,16240,12795,29301
445,179,20166,16174,12656,29004
446,179,19931,16299,12801,28969
447,179,20613,16764,12625,27998
448,179,19991,16670,12180,29159
449,179,20956,16677,12514,27853
450,179,23340,15528,13402,25730
451,179,21856,16138,13349,26657
452,179,23018,16135,13214,25633
453,179,22665,16276,13236,25823
454,179,21649,16635,12613,27103
455,179,20885,17066,12296,27753
456,179,22169,17229,11962,26640
457,179,20962,17753,11282,28003
458,179,20589,17756,11457,28198
459,179,19859,18109,11212,28820
460,179,21162,17703,11341,27794
461,179,20317,17858,11528,28297
462,179,18580,17392,11482,30546
463,179,19292,17129,11776,29803
464,179,20493,17016,12179,28312
465,179,20706,16918,12126,28250
466,179,21397,17338,11741,27524
467,179,22211,17173,11781,26835
468,179,21564,16757,11948,27731
469,179,22707,17404,11702,26187
470,179,24696,17364,11728,24212
471,179,24844,17153,11646,24357
472,179,24320,17360,11571,24749
473,179,23257,17414,11622,25707
474,179,22809,17495,11747,25949
475,179,24205,17868,11401,24526
476,179,22489,17071,12029,26411
477,179,21469,16723,12436,27372
478,179,22635,16236,12452,26677
479,179,24468,16306,12501,24725
480,179,24710,16499,12725,24066
481,179,26732,16427,12655,22186
482,179,27914,16181,12667,21238
483,179,26929,16324,12544,22203
484,179,27004,16178,12425,22393
485,179,26768,16405,12623,22204
486,179,27668,15881,13212,21239
487,179,27656,15838,13165,21341
488,179,27656,15669,13191,21484
489,179,29314,15984,12728,19974
490,179,27583,15991,13033,21393
491,179,25692,15220,13577,23511
492,179,25659,15328,13673,23340
493,179,25750,15286,13503,23461
494,179,26731,14831,14248,22190
495,179,28775,15209,13528,20488
496,179,27104,15785,13372,21739
497,179,27668,15649,13287,21396
498,179,27136,15559,13400,21905
499,179,27702,15504,13258,21536
500,179,27502,15682,13383,21433
501,179,27430,15546,13322,21702
502,179,27475,15598,12980,21947
503,179,28809,15010,13545,20636
504,179,28227,15263,13589,20921
505,179,27158,14953,13713,22176
506,179,25426,15207,13429,23938
507,179,25751,15541,13720,22988
508,179,25871,15478,13637,23014
509,179,24626,15110,13865,24399
510,179,23513,15115,14128,25244
511,179,24094,14805,14378,24723
512,179,24448,14785,14429,24338
513,179,21809,15694,13745,26752
514,179,21215,15410,13446,27929
515,179,21187,15554,13622,27637
516,179,21753,15325,13399,27523
517,179,21857,15260,13393,27490
518,179,20651,15482,13649,28218
519,179,22055,15161,13990,26794
520,179,20603,14667,14019,28711
521,179,19899,14244,14446,29411
522,179,20812,14290,14418,28480
523,179,20970,14389,14373,28268
524,179,22496,14821,14105,26578
525,179,22838,14716,14120,26326
526,179,22550,14692,14006,26752
527,179,21284,14448,14445,27823
528,179,21684,14338,14296,27682
529,179,21484,14359,14485,27672
530,179,20218,14910,13944,28928
531,179,20363,14756,13957,28924
532,179,21311,15675,13713,27301
533,179,20326,14795,14029,28850
534,179,22583,15437,13711,26269
535,179,23532,15817,13410,25241
536,179,24576,16033,13398,23993
537,179,24509,16059,13479,23953
538,179,23567,16465,12986,24982
539,179,24568,16019,13492,23921
540,179,26697,15629,13639,22035
541,179,28049,15809,13041,21101
542,179,27893,15838,13113,21156
543,179,29067,15351,13650,19932
544,179,30226,14803,13756,19215
545,179,28860,14914,13947,20279
546,179,29668,14679,14423,19230
547,179,29041,15017,13962,19980
548,179,30099,15260,13658,18983
549,179,32500,16225,12443,16832
550,179,30034,16421,12324,19221
551,179,27698,15712,13459,21131
552,179,28004,15625,13362,21009
553,179,27460,15837,13166,21537
554,179,27047,15985,13503,21465
555,179,27426,15620,13272,21682
556,179,27455,15900,13397,21248
557,179,28056,15760,13622,20562
558,179,28812,15543,13561,20084
559,179,28827,15656,13504,20013
560,179,30312,14808,13960,18920
561,179,29644,14756,14228,19372
562,179,28978,14467,14029,20526
563,179,27721,14156,14836,21287
564,179,27312,14099,14780,21809
565,179,25830,14607,14595,22968
566,179,24749,14358,15045,23848
567,179,24901,14430,14924,23745
568,179,23831,14344,14999,24826
569,179,23759,14167,14850,25224
570,179,22565,14134,15531,25770
571,179,22793,14280,15462,25465
572,179,21345,14292,15520,26843
573,179,21627,14129,15703,26541
574,179,20459,13830,16518,27193
575,179,20684,13885,16451,26980
576,179,20837,13769,16333,27061
577,179,20000,13939,16629,27432
578,179,17957,14752,15286,30005
579,179,18155,14962,15332,29551
580,179,20082,14771,15713,27434
581,179,18922,14751,15895,28432
582,179,18959,14754,15886,28401
583,179,17408,15038,15455,30099
584,179,17147,14841,15269,30743
585,179,15577,13614,16173,32636
586,179,15495,13524,16239,32742
587,179,16485,13752,15860,31903
588,179,15524,13927,15066,33483
589,179,14498,13418,15146,34938
590,179,14371,13521,15202,34906
591,179,15623,13812,15409,33156
592,179,15422,13747,15262,33569
593,179,16313,13747,15034,32906
594,179,18159,15056,14508,30277
595,179,17424,15153,14234,31189
596,179,17235,15334,14461,30970
597,179,15416,15561,13476,33547
598,179,14613,14551,13885,34951
599,179,13709,15077,13562,35652
600,179,13636,15149,13433,35782
601,179,14637,15179,13501,34683
602,179,15227,14970,13374,34429
603,179,15070,15002,13308,34620
604,179,15992,14686,13678,33644
605,179,16933,14711,13894,32462
606,179,16876,14729,13763,32632
607,179,18651,15935,13060,30354
608,179,19211,15764,12909,30116
609,179,20221,15856,13182,28741
610,179,19608,15857,13383,29152
611,179,19833,15660,13333,29174
612,179,19546,15775,13406,29273
613,179,17655,15252,13625,31468
614,179,17592,15414,13559,31435
615,179,18483,14821,13850,30846
616,179,16943,13676,14575,32806
617,179,16737,13706,14747,32810
618,179,15972,13709,14595,33724
619,179,14747,13101,15017,35135
620,179,13037,12563,14938,37462
621,179,13779,12873,14846,36502
622,179,14704,13422,14704,35170
623,179,15675,12978,14981,34366
624,179,15821,13050,14956,34173
625,179,14618,12172,15630,35580
626,179,14269,12184,15508,36039
627,179,14056,12089,15554,36301
628,179,12831,11984,15049,38136
629,179,12326,11762,15289,38623
630,179,13716,11363,16136,36785
631,179,15634,11789,16035,34542
632,179,16548,12238,15828,33386
633,179,15607,12244,16268,33881
634,179,15609,12088,16141,34162
635,179,15520,12273,16166,34041
636,179,14629,12506,15544,35321
637,179,13627,11971,15659,36743
638,179,13762,12089,15662,36487
639,179,14316,12260,15512,35912
640,179,14584,12235,15493,35688
641,179,14485,12168,15466,35881
642,179,15978,12816,15353,33853
643,179,17123,12534,15906,32437
644,179,15476,13001,15304,34219
645,179,17115,12568,16035,32282
646,179,18132,12601,15947,31320
647,179,17982,12736,15939,31343
648,179,19914,13539,15424,29123
649,179,20155,13599,15446,28800
650,179,20234,13429,15304,29033
651,179,18978,13707,15263,30052
652,179,18036,13540,14942,31482
653,179,19495,13466,15467,29572
654,179,20033,13627,15313,29027
655,179,19785,13624,15309,29282
656,179,18860,13215,15207,30718
657,179,19116,13392,15406,30086
658,179,18981,13176,15164,30679
659,179,20880,13254,15669,28197
660,179,20634,13544,15755,28067
661,179,18628,12622,16205,30545
662,179,18904,12500,16191,30405
663,179,21120,12487,16430,27963
664,179,20716,12401,16360,28523
