round,seed,exploit,defect,exploit_,coop
473,612,15011,13230,12474,37285
474,612,14607,12881,12414,38098
475,612,14739,12779,12713,37769
476,612,14943,12664,12604,37789
477,612,15853,14382,12467,35298
478,612,15614,14042,12137,36207
479,612,15681,13944,12119,36256
480,612,15662,15358,12742,34238
481,612,16300,16659,12436,32605
482,612,16458,16505,12499,32538
483,612,15729,18498,13340,30433
484,612,16835,20598,12376,28191
485,612,17570,21871,12118,26441
486,612,17809,24045,11565,24581
487,612,18225,25520,11376,22879
488,612,18275,25486,11261,22978
489,612,18080,25592,11159,23169
490,612,18249,26899,11236,21616
491,612,17866,28336,11800,19998
492,612,17886,29844,11775,18495
493,612,17874,29683,11742,18701
494,612,17759,30024,11642,18575
495,612,18068,29892,11678,18362
496,612,16749,27564,13096,20591
497,612,16857,27746,13141,20256
498,612,17438,26943,13023,20596
499,612,17429,26849,13054,20668
500,612,17349,26940,12853,20858
501,612,17548,27847,13163,19442
502,612,16908,26914,13267,20911
503,612,17212,26663,13429,20696
504,612,16176,29156,13708,18960
505,612,16027,28965,13955,19053
506,612,15891,30174,14084,17851
507,612,15357,31308,14002,17333
508,612,15015,29689,14652,18644
509,612,14865,29946,14626,18563
510,612,15121,29803,14789,18287
511,612,15401,30688,14311,17600
512,612,15303,28461,15009,19227
513,612,15208,28709,15086,18997
514,612,14760,29478,14776,18986
515,612,15053,29143,14868,18936
516,612,14990,29324,14896,18790
517,612,15148,31497,14386,16969
518,612,14464,30132,14914,18490
519,612,13643,31703,15501,17153
520,612,13227,30344,16109,18320
521,612,13213,30363,16193,18231
522,612,13178,30723,16052,18047
523,612,13159,30441,15909,18491
524,612,13280,30639,15976,18105
525,612,13374,30635,16097,17894
526,612,12995,31258,16002,17745
527,612,13251,30083,15591,19075
528,612,13511,28705,15383,20401
529,612,12900,29265,15642,20193
530,612,13131,29390,15627,19852
531,612,13788,31724,14327,18161
532,612,13878,30891,14768,18463
533,612,14207,32435,13980,17378
534,612,14241,33311,14122,16326
535,612,14050,33709,14207,16034
536,612,14052,33842,14213,15893
537,612,14032,33085,14546,16337
538,612,14261,32707,14635,16397
539,612,14070,32973,14518,16439
540,612,14193,34285,14462,15060
541,612,14433,36767,13410,13390
542,612,14644,38219,12927,12210
543,612,14143,39703,13030,11124
544,612,13960,38856,13041,12143
545,612,13438,40288,13235,11039
546,612,13487,40212,13314,10987
547,612,13233,40313,13335,11119
548,612,13315,42754,12371,9560
549,612,13552,41724,12536,10188
550,612,13599,41092,12359,10950
551,612,13586,41089,12332,10993
552,612,13480,39938,12795,11787
553,612,13163,40496,12675,11666
554,612,13181,39048,13225,12546
555,612,13212,38963,13272,12553
556,612,12925,40593,13103,11379
557,612,13084,40380,13275,11261
558,612,12982,39527,13443,12048
559,612,12583,40755,13438,11224
560,612,12480,40739,13299,11482
561,612,12917,39900,13725,11458
562,612,13010,41580,12836,10574
563,612,12907,42226,12639,10228
564,612,12970,42406,12778,9846
565,612,12833,42389,12727,10051
566,612,12837,42471,12590,10102
567,612,13377,40967,12435,11221
568,612,13694,42440,11904,9962
569,612,13835,42365,12071,9729
570,612,14466,39776,12279,11479
571,612,14196,40968,12283,10553
572,612,14596,41440,12109,9855
573,612,14670,42237,11810,9283
574,612,14353,41509,12298,9840
575,612,14304,42387,12213,9096
576,612,13945,43653,11433,8969
577,612,13787,42717,11906,9590
578,612,13813,41925,11974,10288
579,612,13988,42562,11830,9620
580,612,12245,45359,12182,8214
581,612,12202,43652,12915,9231
582,612,12252,44994,12356,8398
583,612,12167,46539,12083,7211
584,612,11962,45968,12145,7925
585,612,11134,47619,12203,7044
586,612,11129,46662,12977,7232
587,612,11075,48158,12347,6420
588,612,11337,46560,13236,6867
589,612,11189,47009,12975,6827
590,612,11235,46972,13099,6694
591,612,11248,47085,12842,6825
592,612,11647,46211,12793,7349
593,612,12642,43695,12924,8739
594,612,12816,43684,12884,8616
595,612,13212,42718,12786,9284
596,612,13326,42029,12672,9973
597,612,13207,41235,12835,10723
598,612,13330,41339,12622,10709
599,612,13099,39396,13476,12029
600,612,12983,38721,13614,12682
601,612,12538,41182,13358,10922
602,612,13021,39573,13082,12324
603,612,12923,39571,13190,12316
604,612,12863,40411,13191,11535
605,612,12302,42319,13123,10256
606,612,12447,43232,12910,9411
607,612,12586,42336,13120,9958
608,612,12925,41685,12719,10671
609,612,12749,41692,12870,10689
610,612,13039,40519,12852,11590
611,612,13287,40396,12782,11535
612,612,14054,39198,12426,12322
613,612,14008,38289,12558,13145
614,612,14019,37632,12844,13505
615,612,14165,37402,13004,13429
616,612,14166,37557,12817,13460
617,612,14273,37388,13074,13265
618,612,14243,37358,12948,13451
619,612,13805,36531,13023,14641
620,612,14171,35121,13547,15161
621,612,14297,35691,13169,14843
622,612,14011,36452,13063,14474
623,612,14090,34239,13352,16319
624,612,14165,34175,13507,16153
625,612,14616,35297,12979,15108
626,612,14528,35323,12964,15185
627,612,14898,33679,12969,16454
628,612,14611,34715,13158,15516
629,612,13987,35803,13364,14846
630,612,14215,35267,13507,15011
631,612,14370,34004,13200,16426
632,612,14647,33774,13271,16308
633,612,14375,34306,13300,16019
634,612,14409,34492,13136,15963
635,612,14396,35784,12874,14946
636,612,14477,36551,12836,14136
637,612,14182,37512,12539,13767
638,612,14203,36156,12946,14695
639,612,14303,36222,12979,14496
640,612,14119,35701,13044,15136
641,612,14002,34389,13591,16018
642,612,14190,33109,13710,16991
643,612,13990,31469,14106,18435
644,612,13399,33182,14352,17067
645,612,13529,33471,14317,16683
646,612,13543,33808,14081,16568
647,612,13528,34195,14147,16130
648,612,13493,34153,14002,16352
649,612,13686,33921,14131,16262
650,612,13356,32658,14632,17354
651,612,13330,31155,15037,18478
652,612,12927,30816,14875,19382
653,612,13007,29592,15671,19730
654,612,12763,29700,15489,20048
655,612,12900,29967,15369,19764
656,612,12851,29900,15431,19818
657,612,12753,29115,15725,20407
658,612,12711,29526,16014,19749
659,612,12696,30722,15556,19026
660,612,12551,30979,15409,19061
661,612,12688,31109,15638,18565
662,612,12742,31168,15510,18580
663,612,12253,28835,16537,20375
664,612,11996,28966,16670,20368
665,612,12063,27174,16667,22096
666,612,11808,26076,17022,23094
667,612,11732,25969,17016,23283
668,612,11451,27532,17404,21613
669,612,10918,29059,17517,20506
670,612,10957,29047,17567,20429
671,612,10664,30106,17827,19403
672,612,10560,31444,17650,18346
673,612,10582,32239,18002,17177
674,612,10198,33544,18039,16219
675,612,10122,33847,17895,16136
676,612,10127,34870,18017,14986
677,612,9775,35324,18003,14898
678,612,9794,35337,17890,14979
679,612,10130,36238,17306,14326
680,612,10216,35863,17532,14389
681,612,9775,36985,17416,13824
682,612,10036,37845,17052,13067
683,612,10278,37043,17134,13545
684,612,10379,38519,16456,12646
685,612,10374,38158,16499,12969
686,612,10478,39766,16069,11687
687,612,10983,38186,16493,12338
688,612,11095,38266,16378,12261
689,612,11452,37193,16176,13179
690,612,11351,34761,17056,14832
691,612,11136,35305,16786,14773
692,612,11247,34864,16979,14910
693,612,11254,35010,16905,14831
694,612,12445,32863,16221,16471
695,612,12165,32230,16544,17061
696,612,11947,32972,17130,15951
697,612,12070,32745,17213,15972
698,612,11912,32824,17055,16209
699,612,11638,31509,17655,17198
700,612,12362,29377,17223,19038
701,612,11642,30634,17400,18324
702,612,12122,29726,16979,19173
703,612,12103,29230,17175,19492
704,612,12481,30685,16565,18269
705,612,12389,30851,16532,18228
706,612,12670,32098,16359,16873
707,612,13060,30665,15986,18289
708,612,13145,30662,16011,18182
709,612,13112,29821,16218,18849
710,612,13416,30660,16099,17825
711,612,13070,31553,16084,17293
712,612,12869,29395,16681,19055
713,612,12571,30258,17144,18027
714,612,12352,30771,17237,17640
715,612,12092,31454,17010,17444
