round,seed,defect,coop,exploit_,exploit
726,385,42275,10194,14196,11335
727,385,41248,10675,14772,11305
728,385,39780,11572,15326,11322
729,385,39821,11389,15382,11408
730,385,41347,10486,14681,11486
731,385,39807,11518,14976,11699
732,385,39771,11691,14976,11562
733,385,38526,12722,14721,12031
734,385,38226,13118,14756,11900
735,385,37225,13635,14659,12481
736,385,38771,12530,15010,11689
737,385,37893,13170,14818,12119
738,385,38557,12995,14375,12073
739,385,37030,14388,14656,11926
740,385,36262,14545,15204,11989
741,385,36321,14494,15118,12067
742,385,34592,15838,15170,12400
743,385,32945,16981,16023,12051
744,385,31175,18872,16509,11444
745,385,31431,18537,16482,11550
746,385,29674,19911,16424,11991
747,385,28477,20848,16730,11945
748,385,29754,19802,17036,11408
749,385,28452,21311,16401,11836
750,385,29807,19820,16311,12062
751,385,27535,22182,16575,11708
752,385,29841,19910,16218,12031
753,385,28774,20917,15907,12402
754,385,30107,19206,16627,12060
755,385,30809,18937,16075,12179
756,385,32380,17960,15481,12179
757,385,32375,17618,15566,12441
758,385,32601,17704,15429,12266
759,385,32373,17579,15608,12440
760,385,33556,16836,15626,11982
761,385,31842,18164,16177,11817
762,385,33175,17330,15754,11741
763,385,31414,18794,15251,12541
764,385,29862,19482,16117,12539
765,385,29711,20121,15893,12275
766,385,30279,19789,15622,12310
767,385,30113,19675,15946,12266
768,385,28156,21116,15853,12875
769,385,26859,21852,15908,13381
770,385,27114,22439,15432,13015
771,385,27363,21993,15441,13203
772,385,27631,21716,15479,13174
773,385,26205,22791,15499,13505
774,385,26729,22025,15690,13556
775,385,28429,20800,15990,12781
776,385,27095,21938,15959,13008
777,385,25799,22754,16000,13447
778,385,27150,22204,15889,12757
779,385,27614,21381,15900,13105
780,385,30493,18824,15679,13004
781,385,30561,19120,15512,12807
782,385,29699,19458,15785,13058
783,385,31869,17580,15213,13338
784,385,30743,18493,15238,13526
785,385,28801,20004,15593,13602
786,385,30046,19256,15452,13246
787,385,28878,19860,15714,13548
788,385,30600,18778,15476,13146
789,385,30107,19209,15502,13182
790,385,31425,18256,15186,13133
791,385,30146,19215,15176,13463
792,385,28133,20597,15208,14062
793,385,29410,19303,15008,14279
794,385,29692,19424,14679,14205
795,385,28996,19831,14707,14466
796,385,30355,19419,14288,13938
797,385,30090,19111,14731,14068
798,385,29535,19864,14843,13758
799,385,29436,20014,14841,13709
800,385,30771,18782,14684,13763
801,385,30773,18772,14736,13719
802,385,31237,18441,14754,13568
803,385,30167,19319,14504,14010
804,385,28579,19663,15060,14698
805,385,28437,20486,14828,14249
806,385,26916,21242,15371,14471
807,385,24919,22907,15611,14563
808,385,23914,23731,15609,14746
809,385,23458,24584,15295,14663
810,385,22721,25121,15406,14752
811,385,22981,24825,15450,14744
812,385,22187,26050,15418,14345
813,385,21995,26348,15308,14349
814,385,21052,27363,15384,14201
815,385,20976,27882,15173,13969
816,385,19325,28463,15623,14589
817,385,19664,28516,15284,14536
818,385,19343,28290,15392,14975
819,385,20686,27773,15285,14256
820,385,20246,28175,15446,14133
821,385,17945,30353,15177,14525
822,385,18313,30286,14876,14525
823,385,18397,30290,14930,14383
824,385,16409,31944,14707,14940
