round,seed,defect,exploit,exploit_,coop
697,711,17138,15840,13420,31602
698,711,19123,14891,14623,29363
699,711,17042,14887,14345,31726
700,711,17142,14876,14532,31450
701,711,16968,15101,14425,31506
702,711,17185,14777,14452,31586
703,711,17027,14911,14552,31510
704,711,17081,14756,14598,31565
705,711,16782,14633,14677,31908
706,711,15585,14126,14562,33727
707,711,13885,14886,13158,36071
708,711,13712,14990,13412,35886
709,711,15276,14489,14392,33843
710,711,15567,14670,14325,33438
711,711,15384,14597,14437,33582
712,711,16835,15513,13963,31689
713,711,17231,15212,14182,31375
714,711,17985,14764,14399,30852
715,711,18035,14738,14386,30841
716,711,19496,15692,13826,28986
717,711,18038,15974,13259,30729
718,711,19314,15795,13848,29043
719,711,19249,15886,13913,28952
720,711,18912,15761,14216,29111
721,711,17701,16067,13834,30398
722,711,17899,16095,13524,30482
723,711,17916,16138,13600,30346
724,711,18452,15958,13770,29820
725,711,18863,15870,13760,29507
726,711,18390,16068,13652,29890
727,711,19058,15851,13763,29328
728,711,18963,16041,13700,29296
729,711,18124,16566,13284,30026
730,711,18148,16514,13403,29935
731,711,18227,16316,13205,30252
732,711,18480,16287,13432,29801
733,711,18515,16185,13520,29780
734,711,18598,16068,13497,29837
735,711,17566,16111,13105,31218
736,711,17320,16136,13082,31462
737,711,17462,16186,13187,31165
738,711,17269,16181,13210,31340
739,711,18809,16612,12996,29583
740,711,19144,16220,13247,29389
741,711,17222,15895,13493,31390
742,711,16858,16019,13233,31890
743,711,16745,16173,13530,31552
744,711,16964,16099,13349,31588
745,711,17387,15910,13429,31274
746,711,18436,15828,13844,29892
747,711,16572,15071,14440,31917
748,711,15274,15093,13880,33753
749,711,15089,15140,13796,33975
750,711,14811,14952,13753,34484
751,711,14663,14946,14013,34378
752,711,14367,15107,13950,34576
753,711,14370,15039,14103,34488
754,711,12788,15759,12518,36935
755,711,11592,15644,11851,38913
756,711,12104,15469,12013,38414
757,711,13629,16713,11625,36033
758,711,13690,16654,11605,36051
759,711,12580,15621,11917,37882
760,711,12740,15734,12118,37408
761,711,14170,15022,12911,35897
762,711,12788,14980,12909,37323
763,711,12389,15158,12650,37803
764,711,10708,14623,12396,40273
765,711,10697,14548,12324,40431
766,711,10953,14505,12615,39927
767,711,11063,14511,12439,39987
768,711,11243,14528,12747,39482
769,711,11122,14556,12468,39854
770,711,10798,14489,12289,40424
771,711,10871,14624,12508,39997
772,711,10974,14586,12503,39937
773,711,10739,14540,12371,40350
774,711,10191,14251,12648,40910
775,711,8567,14762,11152,43519
776,711,8634,14684,11231,43451
777,711,8576,14591,10941,43892
778,711,8938,14966,11026,43070
779,711,9185,14927,11113,42775
780,711,8991,14922,11068,43019
781,711,9208,15019,11144,42629
782,711,9254,14858,11193,42695
783,711,9340,14880,10926,42854
784,711,10569,15178,11869,40384
785,711,10503,15118,11759,40620
786,711,9200,14232,11826,42742
787,711,9527,14567,11903,42003
788,711,9801,14648,11741,41810
789,711,10142,14704,11711,41443
790,711,10074,14657,11768,41501
791,711,11529,15797,11441,39233
792,711,10327,14997,11617,41059
793,711,10667,15011,11836,40486
794,711,10313,14630,11628,41429
795,711,10684,14995,11695,40626
796,711,9161,14087,12019,42733
797,711,7715,13703,11514,45068
798,711,7742,13771,11603,44884
799,711,7781,14083,11595,44541
800,711,7576,13572,11336,45516
801,711,7868,13733,11969,44430
802,711,8117,14095,12090,43698
803,711,6630,13247,11985,46138
804,711,7067,13700,12390,44843
805,711,7031,13773,12268,44928
806,711,6924,13680,12199,45197
807,711,6944,13876,12395,44785
808,711,7030,13771,12272,44927
809,711,8331,14238,11874,43557
810,711,8163,14234,11762,43841
811,711,8372,14275,11968,43385
812,711,10041,14395,12435,41129
813,711,10215,14542,12494,40749
814,711,10432,14604,12676,40288
815,711,9254,14577,12192,41977
816,711,9233,14544,12102,42121
817,711,7430,14500,11641,44429
818,711,7652,14528,11785,44035
819,711,7059,14620,11792,44529
