round,seed,defect,coop,exploit,exploit_
779,990,2111,58228,8876,8785
780,990,2018,58343,8861,8778
781,990,1931,58326,8816,8927
782,990,1954,58308,8917,8821
783,990,2031,58301,8861,8807
784,990,2056,57878,9081,8985
785,990,2013,58139,8955,8893
786,990,1970,58531,8706,8793
787,990,1864,58847,8803,8486
788,990,1982,58278,8961,8779
789,990,1968,58130,9033,8869
790,990,2519,57146,9209,9126
791,990,2330,57555,9073,9042
792,990,2218,57462,9206,9114
793,990,2115,58082,8923,8880
794,990,2096,57709,9156,9039
795,990,2657,56823,9413,9107
796,990,2548,56761,9465,9226
797,990,2388,56761,9647,9204
798,990,2418,56855,9486,9241
799,990,2663,56064,9846,9427
800,990,2395,56902,9566,9137
801,990,2330,57542,9219,8909
802,990,2377,57426,9365,8832
803,990,2401,57447,9274,8878
804,990,2564,56753,9479,9204
805,990,2444,57229,9093,9234
806,990,2446,56787,9388,9379
807,990,2524,57019,9238,9219
808,990,2516,56786,9340,9358
809,990,2538,56923,9303,9236
810,990,2551,56731,9277,9441
811,990,2237,57719,9165,8879
812,990,2329,57387,9336,8948
813,990,2353,57213,9343,9091
814,990,2284,57948,9025,8743
815,990,1976,58439,9081,8504
816,990,1988,58493,8992,8527
817,990,1964,57999,9274,8763
818,990,2008,57852,9419,8721
819,990,2075,58136,9129,8660
820,990,2120,57434,9570,8876
821,990,1983,58178,9194,8645
822,990,2808,55775,10780,8637
823,990,2474,56766,10406,8354
824,990,2326,56894,10442,8338
825,990,2350,57056,10402,8192
826,990,2219,57110,10305,8366
827,990,1981,57765,10298,7956
828,990,2015,57655,10196,8134
829,990,2054,57543,10211,8192
830,990,2068,57670,10208,8054
831,990,2367,57057,10320,8256
832,990,2169,57351,10410,8070
833,990,2972,54784,12003,8241
834,990,3001,55070,11831,8098
835,990,2952,54885,12070,8093
836,990,3012,54557,11943,8488
837,990,3023,54723,11908,8346
838,990,3044,54760,11857,8339
839,990,3112,54658,12031,8199
840,990,2986,54598,11965,8451
841,990,2977,54530,12057,8436
842,990,3182,54137,12126,8555
843,990,3278,54161,11983,8578
844,990,3243,54152,12065,8540
845,990,3151,54446,11916,8487
846,990,2236,56899,10226,8639
847,990,1971,57542,10058,8429
848,990,2034,57495,10006,8465
849,990,2059,57274,10170,8497
850,990,2180,57412,10045,8363
851,990,2030,57393,9995,8582
852,990,3046,54877,11474,8603
853,990,2818,55063,11632,8487
854,990,2543,55532,11538,8387
855,990,2477,55701,11767,8055
856,990,1703,58476,9823,7998
857,990,1761,58125,9886,8228
858,990,1798,58383,9695,8124
859,990,1744,58546,9863,7847
860,990,2348,55832,11155,8665
861,990,3060,53203,12711,9026
862,990,2917,53483,12552,9048
863,990,3024,53535,12592,8849
864,990,2945,53442,12642,8971
865,990,3207,53102,12575,9116
866,990,2887,53427,12440,9246
867,990,2815,53595,12381,9209
868,990,3064,53494,12166,9276
869,990,3172,53029,12535,9264
870,990,3228,53037,12619,9116
871,990,2522,55600,11429,8449
872,990,2487,55754,11271,8488
873,990,2428,55676,11370,8526
874,990,2551,55577,11497,8375
875,990,2466,55472,11565,8497
876,990,2516,55641,11437,8406
877,990,2584,55711,11288,8417
878,990,2546,55560,11470,8424
879,990,2615,55609,11444,8332
880,990,2640,55379,11407,8574
881,990,2481,55871,11165,8483
882,990,2414,55759,11294,8533
883,990,1697,58539,9567,8197
884,990,1696,58408,9687,8209
885,990,1745,58484,9615,8156
886,990,1830,58372,9734,8064
887,990,1716,58260,9816,8208
888,990,2475,55899,10535,9091
889,990,2503,55690,10566,9241
890,990,2484,55811,10620,9085
891,990,2533,55233,10749,9485
892,990,1855,58189,8924,9032
893,990,1995,57678,9052,9275
894,990,2001,57253,9161,9585
895,990,2187,56875,9340,9598
896,990,2215,56938,9279,9568
897,990,2284,56704,9473,9539
898,990,2201,56843,9351,9605
899,990,2210,57059,9205,9526
900,990,2052,57225,9127,9596
901,990,2112,57396,9036,9456
902,990,2252,56770,9305,9673
903,990,2117,57426,9111,9346
904,990,2282,56898,9308,9512
905,990,2242,56708,9367,9683
906,990,2163,56760,9409,9668
907,990,2310,56944,9174,9572
908,990,3186,54274,10024,10516
909,990,3370,53471,10447,10712
910,990,3477,53466,10398,10659
911,990,4507,51036,10605,11852
912,990,4149,51577,10284,11990
913,990,4236,51510,10274,11980
914,990,4297,51371,10403,11929
915,990,4060,51615,10240,12085
916,990,3814,51974,10159,12053
917,990,3859,52353,9971,11817
918,990,3515,52560,10001,11924
919,990,3548,52458,10038,11956
920,990,3589,52641,9889,11881
921,990,3651,52432,9974,11943
922,990,3727,52279,10145,11849
923,990,3946,52009,10043,12002
924,990,3848,51962,10201,11989
925,990,4032,51620,10325,12023
926,990,4229,51311,10502,11958
927,990,4351,51220,10551,11878
928,990,5431,48698,10790,13081
929,990,5439,48548,10819,13194
930,990,5462,48911,10679,12948
931,990,5395,48502,10814,13289
932,990,5732,48131,10977,13160
933,990,5965,47731,10805,13499
934,990,6142,47571,10884,13403
935,990,6229,47721,10739,13311
936,990,5881,47831,10870,13418
