round,seed,defect,exploit_,exploit,coop
436,130,38154,17025,11397,11424
437,130,38301,16868,11447,11384
438,130,38338,16843,11314,11505
439,130,38289,16981,11474,11256
440,130,38268,17061,11331,11340
441,130,40496,15877,11798,9829
442,130,41806,15918,11258,9018
443,130,40798,15594,11808,9800
444,130,39269,15549,12389,10793
445,130,39294,15460,12496,10750
446,130,39438,15275,12309,10978
447,130,39512,15402,12042,11044
448,130,39791,14961,12378,10870
449,130,38989,14535,12787,11689
450,130,37530,14248,13649,12573
451,130,37197,13891,13891,13021
452,130,36104,14180,14143,13573
453,130,33910,13713,15193,15184
454,130,34847,12998,15164,14991
455,130,33687,13380,15068,15865
456,130,33957,13108,14907,16028
457,130,33728,13330,14880,16062
458,130,33900,13193,14961,15946
459,130,33863,13304,14996,15837
460,130,34624,13220,14960,15196
461,130,33344,13183,15028,16445
462,130,34832,13089,15179,14900
463,130,34655,13141,15173,15031
464,130,33869,13691,14937,15503
465,130,32452,14072,14776,16700
466,130,34676,12494,15658,15172
467,130,36162,12992,15007,13839
468,130,34832,13157,14943,15068
469,130,35616,13486,14865,14033
470,130,36062,13190,14783,13965
471,130,35711,13486,14855,13948
472,130,34066,13801,14751,15382
473,130,35765,14054,14077,14104
474,130,35860,14148,14074,13918
475,130,38220,12557,14905,12318
476,130,37599,12878,14768,12755
477,130,36609,12536,15260,13595
478,130,36712,12674,14964,13650
479,130,36814,12528,15180,13478
480,130,36535,12579,15070,13816
481,130,36766,12530,15047,13657
482,130,36649,12741,15173,13437
483,130,35162,13107,14853,14878
484,130,36701,12571,14609,14119
485,130,38102,13033,13872,12993
486,130,36551,12696,14724,14029
487,130,35332,12592,14975,15101
488,130,34335,12668,15140,15857
489,130,32876,13141,14780,17203
490,130,33124,12832,14621,17423
491,130,33554,12894,14554,16998
492,130,35049,13286,13899,15766
493,130,33863,13487,13872,16778
494,130,33107,13852,13955,17086
495,130,33316,13843,14006,16835
496,130,32809,13686,14230,17275
497,130,33702,13480,13738,17080
498,130,31825,13755,13880,18540
499,130,31917,13934,13922,18227
500,130,31786,13883,13923,18408
501,130,33575,13411,14089,16925
502,130,32096,13751,13842,18311
503,130,31804,13790,14000,18406
504,130,31397,14156,13850,18597
505,130,29878,14361,13686,20075
506,130,31038,14419,13483,19060
507,130,32467,14891,13155,17487
508,130,32529,14796,13140,17535
509,130,32630,14620,12884,17866
510,130,30955,14464,13535,19046
511,130,29672,14387,13962,19979
512,130,31030,14855,13114,19001
513,130,31299,14636,13118,18947
514,130,29855,14470,13809,19866
515,130,28099,14990,13236,21675
516,130,29695,14694,13432,20179
517,130,29048,14954,13361,20637
518,130,29125,14681,13264,20930
519,130,27864,14651,13728,21757
520,130,27830,14797,13672,21701
521,130,26945,14720,13469,22866
522,130,26580,14741,13492,23187
523,130,27252,14729,13410,22609
524,130,26773,14646,13544,23037
525,130,26426,15064,13489,23021
526,130,24798,15330,12945,24927
527,130,25064,15366,12979,24591
528,130,24972,15426,13067,24535
529,130,26677,15982,12525,22816
530,130,26993,15874,12750,22383
531,130,26995,15707,12526,22772
532,130,24854,15324,12964,24858
533,130,25383,15492,13502,23623
534,130,23797,14996,14006,25201
535,130,24163,14786,13978,25073
536,130,23900,14617,13887,25596
537,130,25449,15217,13976,23358
538,130,26868,14446,13953,22733
539,130,26904,14375,14060,22661
540,130,25151,13933,14710,24206
541,130,26937,13830,14554,22679
542,130,28239,13343,15132,21286
543,130,29494,13630,14739,20137
544,130,28104,14049,14395,21452
545,130,28008,13936,14216,21840
546,130,28136,14092,14416,21356
547,130,28432,14279,14029,21260
548,130,28257,14315,14094,21334
549,130,28512,14264,14110,21114
550,130,28517,14145,14159,21179
551,130,28622,14300,13863,21215
552,130,30255,14827,13419,19499
553,130,30605,14366,13565,19464
554,130,29220,14052,14260,20468
555,130,29115,13939,14285,20661
556,130,27362,14064,14346,22228
557,130,26830,14121,14409,22640
558,130,27390,14220,14399,21991
559,130,25390,13865,14734,24011
560,130,25526,13983,14757,23734
561,130,27803,13856,14826,21515
562,130,25399,13980,14730,23891
563,130,23877,13490,15431,25202
564,130,23619,13429,15342,25610
565,130,23761,13548,15355,25336
566,130,23477,13552,15324,25647
567,130,23220,13572,15351,25857
568,130,23533,13458,15110,25899
569,130,24664,13541,15214,24581
570,130,24966,13360,15044,24630
571,130,26416,12882,15648,23054
572,130,24779,13274,15122,24825
573,130,23102,13468,15369,26061
574,130,23041,13487,15556,25916
575,130,22852,13517,15758,25873
576,130,22899,13423,15332,26346
577,130,22954,13513,15390,26143
578,130,22800,13405,15370,26425
579,130,24258,13301,15771,24670
580,130,24232,13032,15311,25425
581,130,24253,13221,15582,24944
582,130,24982,13113,15440,24465
583,130,24395,13142,15443,25020
584,130,22504,13774,15475,26247
585,130,22814,13449,14948,26789
586,130,22214,13374,15339,27073
587,130,21398,13278,15608,27716
588,130,19750,13217,15533,29500
589,130,19952,13166,15476,29406
590,130,18177,12689,16112,31022
591,130,18283,12611,15924,31182
592,130,16726,12430,16000,32844
593,130,18470,12176,16780,30574
594,130,18170,12172,16711,30947
595,130,18600,12096,16498,30806
596,130,18113,12203,16794,30890
597,130,17833,11872,16546,31749
598,130,18326,12038,16419,31217
599,130,18567,12353,16734,30346
600,130,18013,12005,16671,31311
601,130,20003,12440,16345,29212
602,130,19735,12173,16407,29685
603,130,17952,12279,16044,31725
604,130,17655,12434,16048,31863
605,130,17449,12488,16217,31846
606,130,17702,12249,16255,31794
607,130,17571,12359,16155,31915
608,130,17878,12431,16186,31505
609,130,16034,11931,16250,33785
610,130,16102,12118,16350,33430
611,130,16289,11980,16513,33218
612,130,17013,11974,16368,32645
613,130,19059,12962,15830,30149
614,130,19345,13096,15748,29811
615,130,19440,13289,15656,29615
616,130,19813,13117,15441,29629
617,130,20162,13266,15858,28714
618,130,20538,13189,15781,28492
619,130,22508,12857,15840,26795
620,130,22120,13171,16017,26692
621,130,21870,13306,15893,26931
622,130,22435,13037,15898,26630
623,130,21751,12799,16027,27423
624,130,22152,12906,16071,26871
625,130,20950,13339,15740,27971
626,130,19277,13789,15320,29614
627,130,17741,13505,15825,30929
628,130,16636,12876,15908,32580
629,130,15672,13095,15626,33607
630,130,15407,13243,15744,33606
631,130,15699,13341,15776,33184
632,130,16403,13395,16058,32144
633,130,15701,13188,15731,33380
634,130,15751,13290,15937,33022
635,130,13820,13620,15485,35075
636,130,14668,13875,15391,34066
637,130,14790,14121,15469,33620
638,130,15225,14359,15461,32955
639,130,14672,14535,15691,33102
640,130,14787,14338,15529,33346
641,130,15313,14324,15502,32861
642,130,14759,14292,15599,33350
643,130,14857,14325,15406,33412
644,130,14904,14268,15455,33373
645,130,15834,14483,15459,32224
646,130,17281,15142,15136,30441
647,130,17753,15029,15108,30110
648,130,17566,15090,15212,30132
649,130,17565,15042,14930,30463
650,130,18811,14985,14604,29600
651,130,18973,15016,14828,29183
652,130,18976,15098,14713,29213
653,130,19208,14976,14634,29182
654,130,20111,14908,14550,28431
655,130,20071,14694,14572,28663
656,130,19180,14654,14351,29815
657,130,20581,14198,14376,28845
658,130,22365,14276,14586,26773
659,130,22826,14211,14732,26231
660,130,22332,14459,14629,26580
661,130,22836,14479,14439,26246
662,130,23294,14520,14194,25992
663,130,22919,14628,14314,26139
664,130,23092,14629,14455,25824
665,130,25034,15110,13644,24212
666,130,25320,15162,14174,23344
667,130,25724,15366,14001,22909
668,130,24564,15374,14207,23855
669,130,26586,15766,13368,22280
670,130,28360,15822,12819,20999
671,130,26804,16336,12953,21907
672,130,26416,16087,12745,22752
673,130,26382,16366,12780,22472
674,130,28985,15745,13061,20209
675,130,27057,15381,13641,21921
676,130,25186,15070,14190,23554
677,130,25779,15077,14189,22955
678,130,24497,15136,14325,24042
679,130,25579,15392,13851,23178
680,130,25685,15634,13946,22735
681,130,27138,15243,13697,21922
682,130,29038,15309,13412,20241
683,130,29008,15346,13506,20140
684,130,28116,15202,13665,21017
685,130,28677,15060,13494,20769
686,130,26841,15018,13911,22230
687,130,28620,14595,14024,20761
688,130,28122,14685,13742,21451
689,130,29181,14635,13549,20635
690,130,29347,14716,13745,20192
691,130,29529,14745,13673,20053
692,130,29750,14720,13624,19906
693,130,29394,14798,13621,20187
694,130,29143,14857,13818,20182
695,130,29184,14735,13596,20485
696,130,29827,14692,13756,19725
697,130,31125,14262,13252,19361
698,130,29765,14756,13545,19934
699,130,28197,15215,13223,21365
700,130,29563,15019,13222,20196
701,130,29487,15107,13299,20107
702,130,31125,14532,13538,18805
703,130,32369,14222,13606,17803
704,130,32477,14365,13597,17561
705,130,29852,13613,14737,19798
706,130,30528,13528,14477,19467
707,130,30103,13595,14745,19557
708,130,28446,13633,14816,21105
709,130,28868,13662,14982,20488
710,130,28976,13730,14697,20597
711,130,30572,13545,14513,19370
712,130,31678,13565,14351,18406
713,130,31206,13732,14380,18682
714,130,32462,13772,14076,17690
715,130,32418,13738,13951,17893
716,130,31727,13894,14296,18083
717,130,32325,13732,14196,17747
718,130,30642,14104,14413,18841
719,130,31218,14012,14025,18745
720,130,31775,13930,13943,18352
721,130,30557,14202,13690,19551
722,130,30989,14251,13982,18778
723,130,29861,14477,14226,19436
724,130,29494,14409,14315,19782
725,130,29159,14136,14326,20379
726,130,29229,14152,14336,20283
727,130,28623,14058,14300,21019
728,130,29058,13928,14501,20513
729,130,28397,14211,14606,20786
730,130,29083,13872,14442,20603
731,130,29340,14134,14511,20015
732,130,28009,14791,13907,21293
733,130,28178,14576,13979,21267
734,130,29742,13897,14707,19654
735,130,30571,13974,14630,18825
736,130,30586,13755,14467,19192
737,130,30495,14206,14660,18639
738,130,32007,13927,14258,17808
739,130,30816,14066,14061,19057
740,130,30769,14192,14181,18858
741,130,31495,14335,13898,18272
742,130,31040,14339,13921,18700
743,130,29601,14058,14411,19930
744,130,29120,14244,13990,20646
745,130,27696,14873,13782,21649
746,130,27576,14871,13748,21805
747,130,29832,13930,14561,19677
748,130,28561,13916,14615,20908
749,130,28656,13803,14453,21088
750,130,28298,14069,14739,20894
751,130,27957,13969,14662,21412
752,130,28840,13826,14845,20489
753,130,29718,13410,14922,19950
754,130,31570,13712,14592,18126
755,130,30490,13353,15083,19074
756,130,31932,12962,14949,18157
757,130,32024,13380,14664,17932
758,130,30788,14081,14214,18917
759,130,33339,14597,13355,16709
760,130,33857,14121,13432,16590
761,130,35040,14461,13073,15426
762,130,33561,13927,14045,16467
763,130,34117,13862,13965,16056
764,130,33982,14123,14025,15870
765,130,34973,14162,13780,15085
766,130,34945,14044,13626,15385
767,130,34862,14344,13677,15117
768,130,35890,14275,13634,14201
769,130,35108,14572,13764,14556
770,130,34877,14757,13760,14606
771,130,34707,14874,13869,14550
772,130,32877,14879,14195,16049
773,130,32968,14954,14027,16051
774,130,31867,14835,14147,17151
775,130,29787,15464,13958,18791
776,130,29565,15388,14036,19011
777,130,29712,15411,13897,18980
778,130,29564,15460,13990,18986
779,130,31036,15175,14356,17433
780,130,30121,14739,14497,18643
781,130,29441,15451,14158,18950
782,130,30818,14844,14534,17804
783,130,31252,14590,14698,17460
784,130,31237,14812,14844,17107
785,130,31217,14813,14645,17325
786,130,29184,14021,15629,19166
787,130,30563,14180,14865,18392
788,130,31716,13985,14835,17464
789,130,34302,12668,15339,15691
790,130,36432,12394,15294,13880
791,130,39093,11911,14755,12241
792,130,37457,12004,14851,13688
793,130,35881,12330,15370,14419
794,130,37562,11691,15694,13053
795,130,37934,11718,15452,12896
796,130,36929,11958,15286,13827
797,130,39735,12430,13991,11844
798,130,39543,12536,13813,12108
799,130,40497,12115,14255,11133
800,130,43096,12712,12520,9672
801,130,42975,12678,12503,9844
802,130,43040,12698,12427,9835
803,130,43988,12886,12219,8907
804,130,42964,13001,12374,9661
805,130,43117,12742,12237,9904
806,130,43080,12910,12304,9706
807,130,45624,12494,11537,8345
808,130,45801,12586,11563,8050
809,130,45417,12723,11701,8159
810,130,43951,12459,12153,9437
811,130,45062,12525,11928,8485
812,130,44982,12633,11854,8531
813,130,44924,12755,11946,8375
814,130,44035,12549,12244,9172
815,130,43161,12576,12528,9735
816,130,44001,12644,12651,8704
817,130,44172,12574,12412,8842
818,130,43969,12583,12359,9089
819,130,44086,12626,12318,8970
820,130,43931,12590,12400,9079
821,130,43991,12640,12343,9026
822,130,42481,13071,12397,10051
823,130,43327,12735,12507,9431
824,130,44324,12702,12295,8679
825,130,43479,13230,12021,9270
826,130,42595,13208,12048,10149
827,130,40984,13708,12533,10775
828,130,40490,13798,12666,11046
829,130,41560,13642,12657,10141
830,130,40658,13763,12667,10912
831,130,43289,13002,12398,9311
832,130,43361,12989,12281,9369
833,130,44958,13082,11472,8488
