round,seed,exploit,defect,exploit_,coop
682,123,17238,39877,13213,7672
683,123,15208,42103,13895,6794
684,123,15382,41879,13977,6762
685,123,15313,42063,14018,6606
686,123,15229,42057,13983,6731
687,123,15258,42234,13804,6704
688,123,15510,42730,13277,6483
689,123,15347,42625,13476,6552
690,123,15138,40104,15180,7578
691,123,16409,38151,14710,8730
692,123,16481,38068,14745,8706
693,123,16465,38029,14799,8707
694,123,16813,40373,13274,7540
695,123,16704,40410,13322,7564
696,123,16676,40540,13137,7647
697,123,16794,40290,13393,7523
698,123,16497,39782,13471,8250
699,123,15432,42169,13226,7173
700,123,16227,40356,13983,7434
701,123,16011,40446,13981,7562
702,123,16372,40737,13965,6926
703,123,16326,40888,13964,6822
704,123,15365,43258,13476,5901
705,123,14711,40963,15422,6904
706,123,14332,43246,14508,5914
707,123,12476,45669,14717,5138
708,123,13709,43230,15209,5852
709,123,13614,43177,15188,6021
710,123,13495,42549,15380,6576
711,123,13465,42770,15284,6481
712,123,13540,42519,15391,6550
713,123,13269,41714,15876,7141
714,123,14328,39275,16001,8396
715,123,14326,39341,15896,8437
716,123,14327,39251,15923,8499
717,123,14690,41684,14433,7193
718,123,15016,44248,12480,6256
719,123,15175,44047,12553,6225
720,123,15137,44046,12520,6297
721,123,13878,46344,12426,5352
722,123,13854,46584,12340,5222
723,123,13988,46536,12223,5253
724,123,14019,44077,13672,6232
725,123,13461,43165,14228,7146
726,123,11785,45478,14766,5971
727,123,11839,45244,14976,5941
728,123,11908,45274,14846,5972
729,123,11771,45289,14959,5981
730,123,11834,45163,14926,6077
731,123,12111,45653,14597,5639
732,123,12011,45845,14705,5439
733,123,12025,46043,14456,5476
734,123,12103,45683,14628,5586
735,123,14210,43269,14038,6483
736,123,14172,43409,14046,6373
737,123,14195,43400,13991,6414
738,123,14628,43818,13623,5931
739,123,14725,43666,13809,5800
740,123,14878,44282,13601,5239
741,123,14928,44124,13602,5346
742,123,15711,41881,14229,6179
743,123,17044,39519,14229,7208
744,123,16880,39537,14424,7159
745,123,17031,39238,14550,7181
746,123,17032,39596,14226,7146
747,123,16978,39708,14276,7038
748,123,16868,39498,14394,7240
