round,seed,population_seed,strategy,count,percentage
226,536,35,exploitation,23834,0.31
227,536,35,coop,5263,0.07
227,536,35,defect,49042,0.63
227,536,35,exploitation,23695,0.3
228,536,35,coop,5309,0.07
228,536,35,defect,49086,0.63
228,536,35,exploitation,23605,0.3
229,536,35,coop,5826,0.07
229,536,35,defect,48312,0.62
229,536,35,exploitation,23862,0.31
230,536,35,coop,5897,0.08
230,536,35,defect,48319,0.62
230,536,35,exploitation,23784,0.3
231,536,35,coop,5860,0.08
231,536,35,defect,48337,0.62
231,536,35,exploitation,23803,0.31
232,536,35,coop,5900,0.08
232,536,35,defect,48255,0.62
232,536,35,exploitation,23845,0.31
233,536,35,coop,6058,0.08
233,536,35,defect,47273,0.61
233,536,35,exploitation,24669,0.32
234,536,35,coop,7097,0.09
234,536,35,defect,44654,0.57
234,536,35,exploitation,26249,0.34
235,536,35,coop,6374,0.08
235,536,35,defect,46040,0.59
235,536,35,exploitation,25586,0.33
236,536,35,coop,6459,0.08
236,536,35,defect,45840,0.59
236,536,35,exploitation,25701,0.33
237,536,35,coop,5354,0.07
237,536,35,defect,48495,0.62
237,536,35,exploitation,24151,0.31
238,536,35,coop,5356,0.07
238,536,35,defect,48557,0.62
238,536,35,exploitation,24087,0.31
239,536,35,coop,5528,0.07
239,536,35,defect,48238,0.62
239,536,35,exploitation,24234,0.31
240,536,35,coop,5351,0.07
240,536,35,defect,48335,0.62
240,536,35,exploitation,24314,0.31
241,536,35,coop,4715,0.06
241,536,35,defect,49612,0.64
241,536,35,exploitation,23673,0.3
242,536,35,coop,4681,0.06
242,536,35,defect,50002,0.64
242,536,35,exploitation,23317,0.3
243,536,35,coop,4726,0.06
243,536,35,defect,49640,0.64
243,536,35,exploitation,23634,0.3
244,536,35,coop,4607,0.06
244,536,35,defect,49866,0.64
244,536,35,exploitation,23527,0.3
245,536,35,coop,4575,0.06
245,536,35,defect,49776,0.64
245,536,35,exploitation,23649,0.3
246,536,35,coop,4655,0.06
246,536,35,defect,49557,0.64
246,536,35,exploitation,23788,0.3
247,536,35,coop,4758,0.06
247,536,35,defect,49832,0.64
247,536,35,exploitation,23410,0.3
248,536,35,coop,4747,0.06
248,536,35,defect,49751,0.64
248,536,35,exploitation,23502,0.3
249,536,35,coop,4186,0.05
249,536,35,defect,50405,0.65
249,536,35,exploitation,23409,0.3
250,536,35,coop,3618,0.05
250,536,35,defect,51383,0.66
250,536,35,exploitation,22999,0.29
251,536,35,coop,3171,0.04
251,536,35,defect,52727,0.68
251,536,35,exploitation,22102,0.28
252,536,35,coop,3196,0.04
252,536,35,defect,52787,0.68
252,536,35,exploitation,22017,0.28
253,536,35,coop,3108,0.04
253,536,35,defect,52758,0.68
253,536,35,exploitation,22134,0.28
254,536,35,coop,3681,0.05
254,536,35,defect,51625,0.66
254,536,35,exploitation,22694,0.29
255,536,35,coop,3574,0.05
255,536,35,defect,51550,0.66
255,536,35,exploitation,22876,0.29
256,536,35,coop,4165,0.05
256,536,35,defect,50085,0.64
256,536,35,exploitation,23750,0.3
257,536,35,coop,3601,0.05
257,536,35,defect,51419,0.66
257,536,35,exploitation,22980,0.29
258,536,35,coop,3452,0.04
258,536,35,defect,52245,0.67
258,536,35,exploitation,22303,0.29
259,536,35,coop,3612,0.05
259,536,35,defect,52177,0.67
259,536,35,exploitation,22211,0.28
260,536,35,coop,4370,0.06
260,536,35,defect,49639,0.64
260,536,35,exploitation,23991,0.31
261,536,35,coop,4834,0.06
261,536,35,defect,49272,0.63
261,536,35,exploitation,23894,0.31
262,536,35,coop,5729,0.07
262,536,35,defect,46365,0.59
262,536,35,exploitation,25906,0.33
263,536,35,coop,5775,0.07
263,536,35,defect,46504,0.6
263,536,35,exploitation,25721,0.33
264,536,35,coop,5239,0.07
264,536,35,defect,47163,0.6
264,536,35,exploitation,25598,0.33
265,536,35,coop,5160,0.07
265,536,35,defect,46959,0.6
265,536,35,exploitation,25881,0.33
266,536,35,coop,5215,0.07
266,536,35,defect,46955,0.6
266,536,35,exploitation,25830,0.33
267,536,35,coop,6220,0.08
267,536,35,defect,44722,0.57
267,536,35,exploitation,27058,0.35
268,536,35,coop,6151,0.08
268,536,35,defect,44487,0.57
268,536,35,exploitation,27362,0.35
269,536,35,coop,5449,0.07
269,536,35,defect,45788,0.59
269,536,35,exploitation,26763,0.34
270,536,35,coop,5562,0.07
270,536,35,defect,45927,0.59
270,536,35,exploitation,26511,0.34
271,536,35,coop,5440,0.07
271,536,35,defect,45624,0.58
271,536,35,exploitation,26936,0.35
272,536,35,coop,5485,0.07
272,536,35,defect,45981,0.59
272,536,35,exploitation,26534,0.34
273,536,35,coop,5484,0.07
273,536,35,defect,45746,0.59
273,536,35,exploitation,26770,0.34
274,536,35,coop,4726,0.06
274,536,35,defect,48255,0.62
274,536,35,exploitation,25019,0.32
275,536,35,coop,4598,0.06
275,536,35,defect,48546,0.62
275,536,35,exploitation,24856,0.32
276,536,35,coop,4673,0.06
276,536,35,defect,48205,0.62
276,536,35,exploitation,25122,0.32
277,536,35,coop,5120,0.07
277,536,35,defect,47144,0.6
277,536,35,exploitation,25736,0.33
278,536,35,coop,6133,0.08
278,536,35,defect,44424,0.57
278,536,35,exploitation,27443,0.35
279,536,35,coop,6155,0.08
