round,seed,exploit,defect,exploit_,coop
568,123,10997,48348,13086,5569
569,123,11160,48541,13031,5268
570,123,10877,49436,12855,4832
571,123,10765,49685,12856,4694
572,123,10679,49698,12790,4833
573,123,10859,50850,12160,4131
574,123,10846,51004,11969,4181
575,123,10872,50868,12127,4133
576,123,10824,51000,11996,4180
577,123,11823,49688,11725,4764
578,123,11969,50946,10835,4250
579,123,11774,51083,10956,4187
580,123,12016,50984,10804,4196
581,123,12092,50815,10921,4172
582,123,12009,50699,11045,4247
583,123,11056,52176,11144,3624
584,123,11033,52198,11213,3556
585,123,11257,51987,11217,3539
586,123,11176,52204,11074,3546
587,123,10961,52204,11281,3554
588,123,10350,53522,11153,2975
589,123,10395,52966,11360,3279
590,123,10434,50453,12924,4189
591,123,10871,51240,12253,3636
592,123,10665,51493,12132,3710
593,123,10759,51443,12148,3650
594,123,10320,52693,11828,3159
595,123,10034,52967,11753,3246
596,123,10139,52646,12058,3157
597,123,10096,53811,11313,2780
598,123,10022,54170,11320,2488
599,123,10003,54520,11156,2321
600,123,10001,54315,11317,2367
601,123,9932,54243,11389,2436
602,123,10002,54351,11138,2509
603,123,9932,54174,11451,2443
604,123,10054,54156,11377,2413
605,123,10017,54118,11500,2365
606,123,12362,51484,11132,3022
607,123,12150,51703,11126,3021
608,123,12121,51852,10995,3032
609,123,12223,51717,11024,3036
610,123,12135,51700,11158,3007
611,123,12182,51680,11119,3019
612,123,12245,51596,11125,3034
613,123,12204,51649,11061,3086
614,123,12248,51654,11097,3001
615,123,12319,51464,11201,3016
616,123,12169,51737,11104,2990
617,123,12292,51582,11098,3028
618,123,9855,54400,11292,2453
619,123,10041,54329,11210,2420
620,123,9978,54505,11151,2366
621,123,10299,53125,11763,2813
622,123,10295,53172,11705,2828
623,123,10249,53160,11668,2923
624,123,10217,53377,11601,2805
625,123,10283,53052,11817,2848
626,123,10270,53213,11666,2851
627,123,10052,54120,11328,2500
628,123,10004,53760,11480,2756
629,123,10154,53812,11350,2684
630,123,9995,53887,11406,2712
631,123,9758,54807,11129,2306
632,123,9607,54955,11154,2284
633,123,9667,55112,11013,2208
634,123,9609,55144,10951,2296
635,123,9631,55048,11051,2270
636,123,9697,55034,11025,2244
637,123,9595,55023,11077,2305
638,123,9527,55142,11039,2292
639,123,9684,55093,10967,2256
640,123,9302,57936,9102,1660
641,123,9500,57553,9256,1691
642,123,9510,57306,9245,1939
643,123,9293,56994,9567,2146
644,123,9301,56909,9523,2267
645,123,9516,56762,9541,2181
646,123,9360,56946,9608,2086
647,123,9461,56897,9421,2221
648,123,9399,56944,9450,2207
649,123,9357,58144,8771,1728
650,123,9298,58120,8835,1747
651,123,9313,58050,8830,1807
652,123,9092,58306,8688,1914
653,123,9444,57950,8815,1791
654,123,9371,57954,8856,1819
655,123,9339,58105,8713,1843
656,123,9322,58151,8761,1766
657,123,9171,58201,8836,1792
658,123,9318,58103,8743,1836
659,123,9273,58332,8671,1724
660,123,9325,58151,8707,1817
661,123,9326,58551,8485,1638
662,123,9407,58342,8690,1561
663,123,9154,58509,8755,1582
664,123,9316,58572,8552,1560
665,123,9288,58573,8528,1611
666,123,9280,58424,8697,1599
667,123,9185,58578,8568,1669
668,123,9376,58289,8797,1538
669,123,10748,55767,9311,2174
670,123,10901,55811,9083,2205
671,123,10678,55988,9188,2146
672,123,10673,55860,9276,2191
673,123,12318,53207,9655,2820
674,123,12233,53153,9745,2869
675,123,11001,55946,8943,2110
676,123,10823,55888,9079,2210
677,123,10928,55790,9087,2195
678,123,10938,55770,9100,2192
679,123,9384,58535,8538,1543
680,123,9419,59019,8124,1438
681,123,9410,58955,8170,1465
682,123,9358,58978,8240,1424
683,123,10436,57805,8001,1758
684,123,10614,57698,7957,1731
685,123,10469,57768,8010,1753
686,123,10413,57649,8215,1723
687,123,10459,57891,7921,1729
688,123,10662,57529,8117,1692
689,123,10451,56438,9011,2100
690,123,10790,56394,8751,2065
691,123,12632,53848,8850,2670
692,123,12740,53593,8937,2730
693,123,12436,52681,9777,3106
694,123,12348,52673,9802,3177
695,123,12447,52538,9809,3206
696,123,12348,52737,9772,3143
697,123,11929,53682,9725,2664
698,123,11819,53328,9875,2978
699,123,10381,56039,9225,2355
700,123,10427,56340,9124,2109
701,123,10430,56318,9197,2055
702,123,10372,56469,9060,2099
703,123,10209,56547,9220,2024
704,123,10330,56625,9036,2009
705,123,10207,56853,8917,2023
706,123,10267,56540,9085,2108
707,123,10188,56780,8975,2057
708,123,11441,53996,9843,2720
709,123,11557,53758,9990,2695
710,123,11474,53351,10169,3006
711,123,11467,53452,10034,3047
712,123,11618,53333,9922,3127
713,123,11476,53514,10032,2978
714,123,11506,53364,10061,3069
715,123,11561,53308,10113,3018
716,123,11440,53270,10121,3169
717,123,11490,53363,10193,2954
718,123,11197,53029,10417,3357
719,123,11317,52954,10369,3360
720,123,11602,52703,10412,3283
721,123,11431,52680,10552,3337
722,123,11500,54275,9350,2875
723,123,11735,54226,9276,2763
724,123,11839,51618,10917,3626
725,123,12032,52198,10464,3306
726,123,12122,52076,10579,3223
727,123,12007,50823,11497,3673
728,123,13430,48254,11708,4608
729,123,13296,48367,11786,4551
730,123,13434,48143,11808,4615
731,123,13755,48529,11450,4266
732,123,13617,48762,11473,4148
733,123,13631,48910,11372,4087
734,123,13586,48786,11331,4297
735,123,15084,47238,11359,4319
736,123,15009,47241,11457,4293
737,123,15131,46236,11706,4927
738,123,15085,46198,11649,5068
739,123,15165,46181,11712,4942
740,123,15327,46615,11552,4506
741,123,15472,46457,11576,4495
742,123,15268,46790,11472,4470
743,123,15478,46532,11556,4434
744,123,13938,49043,11330,3689
745,123,14061,48853,11284,3802
746,123,14383,48102,11271,4244
747,123,14327,48113,11380,4180
748,123,14158,48148,11472,4222
749,123,14367,48018,11413,4202
750,123,14265,47940,11476,4319
751,123,14381,47957,11373,4289
752,123,14300,47773,11511,4416
753,123,14395,47905,11469,4231
754,123,14283,48089,11288,4340
755,123,15089,46558,11840,4513
756,123,15940,45434,11575,5051
757,123,15933,45528,11449,5090
758,123,15841,45601,11566,4992
759,123,15847,45582,11404,5167
760,123,15818,45460,11641,5081
761,123,13659,47789,12314,4238
762,123,13645,47900,12202,4253
763,123,13424,48122,12104,4350
764,123,13936,47060,12182,4822
765,123,14130,46732,12245,4893
766,123,14637,45546,12330,5487
767,123,14406,45775,12276,5543
768,123,14307,45972,12231,5490
769,123,14276,45799,12399,5526
770,123,14207,45917,12392,5484
771,123,14475,45573,12445,5507
772,123,14540,45512,12313,5635
773,123,14378,45610,12469,5543
774,123,14437,44529,12670,6364
775,123,14472,44532,12637,6359
776,123,14541,44606,12674,6179
777,123,14612,44372,12773,6243
778,123,14521,44526,12695,6258
779,123,14565,44697,12498,6240
780,123,14514,44584,12609,6293
781,123,15209,43390,12353,7048
