,GTFT: 0.33,Cooperator,Tit For Tat,Defector
691,10,11,5,14
692,10,11,6,13
693,11,11,6,12
694,11,11,6,12
695,10,11,6,13
696,10,11,6,13
697,11,11,6,12
698,11,11,6,12
699,11,11,7,11
700,12,10,7,11
701,11,10,7,12
702,10,10,8,12
703,10,10,7,13
704,11,10,7,12
705,11,9,7,13
706,12,8,7,13
707,11,8,7,14
708,10,8,8,14
709,10,8,9,13
710,10,9,9,12
711,9,9,9,13
712,9,9,9,13
713,9,10,9,12
714,9,10,9,12
715,9,11,9,11
716,9,11,10,10
717,9,10,11,10
718,9,9,11,11
719,9,10,11,10
720,9,10,11,10
721,9,10,10,11
722,9,9,10,12
723,8,10,10,12
724,7,10,10,13
725,7,11,9,13
726,8,10,9,13
727,8,10,9,13
728,8,10,9,13
729,8,10,9,13
730,8,11,9,12
731,8,11,9,12
732,8,11,9,12
733,7,12,9,12
734,8,11,9,12
735,7,12,9,12
736,6,13,9,12
737,6,13,9,12
738,6,14,9,11
739,6,14,9,11
740,7,13,9,11
741,7,14,9,10
742,7,14,9,10
743,7,14,9,10
744,7,14,9,10
745,7,13,10,10
746,8,12,10,10
747,9,12,10,9
748,9,12,9,10
749,9,12,9,10
750,8,13,9,10
751,7,14,9,10
752,7,14,9,10
753,7,14,9,10
754,7,14,10,9
755,7,13,10,10
756,7,13,10,10
757,8,13,10,9
758,7,13,11,9
759,8,13,11,8
760,7,13,12,8
761,7,12,13,8
762,7,13,12,8
763,7,13,11,9
764,7,13,11,9
765,7,14,10,9
766,7,14,9,10
767,6,14,9,11
768,6,13,10,11
769,7,13,9,11
770,7,14,8,11
771,7,13,9,11
772,6,13,10,11
773,5,14,10,11
774,4,14,11,11
775,4,13,12,11
776,3,13,13,11
777,3,13,12,12
778,3,13,12,12
779,3,12,13,12
780,3,12,14,11
781,3,12,15,10
782,3,12,15,10
783,3,12,15,10
784,3,11,16,10
785,3,11,17,9
786,3,11,17,9
787,3,10,18,9
788,3,11,17,9
789,3,10,17,10
790,3,11,16,10
791,3,11,17,9
792,3,11,17,9
793,3,11,17,9
794,3,11,17,9
795,3,11,16,10
796,3,11,15,11
797,3,12,14,11
798,3,12,14,11
799,3,12,13,12
800,3,13,13,11
801,3,12,14,11
802,2,12,15,11
803,2,13,14,11
804,2,13,14,11
805,2,12,14,12
806,2,12,14,12
807,3,12,13,12
808,3,12,12,13
809,3,12,12,13
